children,old,urban,decile,cat1workers,cat2workers,cat3workers,cat4workers,cat5workers,cat6workers,cat7workers,totweight,weight,totY,Y,idh,nbpeople
0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16040.011657714844,16040.011657714844,83.97508494297857,83.97508494297857,4243100.0,1.0
2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,87185.35717773438,21796.339294433594,112.86910993854578,28.217277484636444,4243200.0,4.0
2.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,48774.80407714844,9754.960815429688,145.32492537278765,29.064985074557526,4243300.0,5.0
0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48070.292892456055,48070.292892456055,83.5306442736394,83.5306442736394,4243700.0,1.0
1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,31387.13037109375,7846.7825927734375,163.51183531781732,40.87795882945433,4243900.0,4.0
0.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50241.49353027344,25120.74676513672,109.55906022755882,54.77953011377941,4244000.0,2.0
0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26425.126861572266,26425.126861572266,41.14589387528065,41.14589387528065,4244400.0,1.0
2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,84842.50476074219,21210.626190185547,114.36854525757397,28.592136314393493,4244600.0,4.0
0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,119780.64999389648,119780.64999389648,85.09124253139588,85.09124253139588,4244900.0,1.0
0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32719.949645996094,16359.974822998047,57.193621151086674,28.596810575543337,4245200.0,2.0
0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,71134.75999450684,71134.75999450684,61.78976741535955,61.78976741535955,4245300.0,1.0
0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,32166.725006103516,16083.362503051758,94.75698011883651,47.378490059418255,4245900.0,2.0
0.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58602.45199584961,58602.45199584961,120.45347418145982,120.45347418145982,4246300.0,1.0
0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18299.308502197266,9149.654251098633,144.1879948983585,72.09399744917926,4246500.0,2.0
