children,old,urban,decile,cat1workers,cat2workers,cat3workers,cat4workers,cat5workers,cat6workers,cat7workers,totweight,weight,totY,Y,idh,nbpeople
2.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5848.032806396484,1462.008201599121,31.66098068685618,7.915245171714045,101.0,4.0
0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10180.388731002808,10180.388731002808,28.282930711896558,28.282930711896558,102.0,1.0
1.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1106.2194061279297,221.24388122558594,10.43108914406033,2.086217828812066,103.0,5.0
0.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,780.45263671875,130.075439453125,13.828257731989547,2.3047096219982577,104.0,6.0
1.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,17824.69793701172,5941.565979003906,27.6735673878523,9.224522462617434,105.0,3.0
3.0,0.0,6.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,780.45263671875,130.075439453125,18.773432481280796,3.1289054135467995,106.0,6.0
1.0,0.0,2.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1743.8184814453125,871.9092407226562,17.12213921595982,8.56106960797991,107.0,2.0
3.0,0.0,6.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3474.5238647460938,579.0873107910156,54.709215390962186,9.118202565160365,108.0,6.0
3.0,0.0,5.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10450.898065567017,2090.1796131134033,41.88414253810241,8.376828507620482,109.0,5.0
1.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1893.1159439086914,946.5579719543457,8.325354306489668,4.162677153244834,110.0,2.0
0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26004.875232696533,26004.875232696533,10.098934723550085,10.098934723550085,111.0,1.0
3.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14666.75332069397,2933.350664138794,40.02908926062261,8.005817852124522,112.0,5.0
0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13255.055753707886,13255.055753707886,9.454502128699016,9.454502128699016,113.0,1.0
3.0,0.0,7.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,910.528076171875,130.075439453125,42.478211410323226,6.068315915760461,114.0,7.0
6.0,1.0,9.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1170.678955078125,130.075439453125,28.783585598623343,3.198176177624816,115.0,9.0
1.0,0.0,4.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4501.80842590332,1125.45210647583,43.85861071371199,10.964652678427997,116.0,4.0
4.0,0.0,9.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1170.678955078125,130.075439453125,70.91392736315126,7.879325262572363,117.0,9.0
4.0,0.0,6.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2469.8343658447266,411.6390609741211,44.498264012118966,7.416377335353161,118.0,6.0
5.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2893.6932792663574,413.3847541809082,14.307521612896508,2.0439316589852154,119.0,7.0
3.0,0.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3948.2294311523438,564.0327758789062,27.3605997814381,3.9086571116340143,120.0,7.0
3.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6670.151615142822,1334.0303230285645,7.439276375988373,1.4878552751976748,121.0,5.0
3.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2512.8773193359375,314.1096649169922,13.707783261675962,1.7134729077094952,122.0,8.0
10.0,0.0,14.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1821.05615234375,130.075439453125,62.799668034921204,4.485690573922942,123.0,14.0
