children,old,decile,cat1workers,cat2workers,cat3workers,cat4workers,cat5workers,cat6workers,cat7workers,totweight,weight,totY,Y,idh,nbpeople
0.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,78.04940017331413,26.016466724438047,1006.049560546875,335.349853515625,1101010303005.0,3.0
0.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,130.08233362219022,26.016466724438047,1509.0744018554688,301.81488037109375,1502550801114.0,5.0
0.0,0.0,9.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,126.36569723535816,31.59142430883954,1207.259521484375,301.81488037109375,5106020103046.0,4.0
0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,107.78250328458428,53.89125164229214,663.7132263183594,331.8566131591797,1101030203040.0,2.0
0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,273.1728915941394,91.0576305313798,964.130828857422,321.37694295247394,2101510201154.0,3.0
0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,120.7907366468033,120.7907366468033,339.54173278808594,339.54173278808594,1106010101014.0,1.0
0.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,115.21578206655515,57.607891033277575,586.8622436523438,293.4311218261719,1106010101044.0,2.0
0.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,167.24870950712454,27.87478491785409,1676.7493286132815,279.45822143554693,2502561203128.0,6.000000000000001
0.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,111.49913967141636,27.87478491785409,1140.189453125,285.04736328125,2502071003083.0,4.0
0.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,126.36569723535816,63.18284861767908,645.5484619140625,322.77423095703125,5502020701224.0,2.0
0.0,0.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,83.62435475356227,27.87478491785409,1006.8880004882812,335.62933349609375,6101030201040.0,3.0
0.0,0.0,9.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,94.77427292651863,31.59142430883954,1006.049560546875,335.349853515625,5502020701040.0,3.0
0.0,0.0,9.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,104.06586689775216,26.016466724438047,1165.3406982421875,291.3351745605469,1101030203104.0,4.0
0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,174.68198828909541,87.34099414454771,707.681355794271,353.8406778971355,2101520401090.0,2.0
0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,148.66553057711747,29.73310611542349,1397.2909545898438,279.45819091796875,4311060501023.0,5.0
0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,105.92418208701487,35.308060695671635,1006.049560546875,335.349853515625,3116070003065.0,3.0
0.0,0.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,118.93242446169396,29.73310611542349,1488.114990234375,372.02874755859375,4513031101094.0,4.0
0.0,0.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,161.6737549268764,53.89125164229214,993.0547943115234,331.0182647705078,1502060603094.0,3.0
0.0,0.0,9.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,156.09880034662825,26.016466724438047,1592.9117431640625,265.4852905273437,1507051103077.0,6.0
0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,211.84836417402974,70.61612139134327,1006.049560546875,335.349853515625,3101191303098.0,3.0
0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,111.49914567972307,55.749572839861536,712.6184387207031,356.3092193603516,1502581003121.0,2.0
0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,167.2487185195846,55.749572839861536,955.747100830078,318.5823669433594,1101010303069.0,3.0
0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26.016466724438047,26.016466724438047,335.349853515625,335.349853515625,1502060603142.0,1.0
0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,115.21578206655515,57.607891033277575,669.8613586425781,334.93067932128906,1512060901157.0,2.0
0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,139.37392458927047,27.87478491785409,1341.399383544922,268.27987670898443,2111010101037.0,5.0
0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,380.95540689533715,380.95540689533715,303.9645456167368,303.9645456167368,1502030803030.0,1.0
0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,148.66553057711747,29.73310611542349,1863.0549621582031,372.6109924316406,4311060501173.0,5.0
0.0,0.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,111.49913967141636,27.87478491785409,1274.3294677734375,318.5823669433594,2502071003071.0,4.0
0.0,0.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,63.18284861767908,31.59142430883954,578.478515625,289.2392578125,5517100703123.0,2.0
0.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,83.62435475356227,27.87478491785409,1006.049560546875,335.349853515625,2512561201077.0,3.0
0.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,297.3310491376215,148.66552456881075,656.6150268554687,328.30751342773436,1502030803066.0,2.0
0.0,0.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,83.62435475356227,27.87478491785409,1073.1194458007812,357.70648193359375,2512040903043.0,3.0
0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,111.49913967141636,27.87478491785409,1509.0743408203125,377.2685852050781,6101010203167.0,4.0
0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,133.7989700090223,66.89948500451115,670.69970703125,335.349853515625,3101182001121.0,2.0
0.0,0.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,141.2322427826865,35.308060695671635,1257.5618896484375,314.3904724121094,3102140103114.0,4.0
0.0,0.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,176.5403034783581,35.308060695671635,1329.6621704101562,265.93243408203125,3506702401256.0,5.0
0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,55.74956983570818,27.87478491785409,670.69970703125,335.349853515625,2101510201122.0,2.0
0.0,0.0,9.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,139.37392458927047,27.87478491785409,1307.864532470703,261.57290649414057,2106520403377.0,5.0
0.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,70.61612139134327,35.308060695671635,335.349853515625,167.6749267578125,3128181801087.0,2.0
0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,70.61612139134327,35.308060695671635,335.349853515625,167.6749267578125,3102640601056.0,2.0
0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59.46620922669364,59.46620922669364,167.6749267578125,167.6749267578125,5108010303102.0,1.0
0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,118.93242446169396,29.73310611542349,670.69970703125,167.6749267578125,4513051301090.0,4.0
0.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,78.04940017331413,26.016466724438047,536.5597229003906,178.85324096679688,1106010101056.0,3.0
0.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,70.61612139134327,35.308060695671635,368.8848571777344,184.4424285888672,3506702401112.0,2.0
0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,111.49913967141636,27.87478491785409,737.7697143554688,184.4424285888672,2502071003155.0,4.0
0.0,0.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,141.2322427826865,35.308060695671635,704.2347412109375,176.05868530273438,3128181801129.0,4.0
0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,55.74956983570818,27.87478491785409,335.349853515625,167.6749267578125,2502081103009.0,2.0
0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,52.03293344887609,26.016466724438047,335.349853515625,167.6749267578125,1101010303013.0,2.0
0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,111.49914567972307,55.749572839861536,342.3363037109375,171.16815185546875,1502030803048.0,2.0
0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,167.2487185195846,55.749572839861536,528.1760330200195,176.05867767333984,1502581003193.0,3.0
0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31.59142430883954,31.59142430883954,184.4424285888672,184.4424285888672,5502070603017.0,1.0
0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,104.06586689775216,26.016466724438047,628.7809448242188,157.1952362060547,1502040703121.0,4.0
0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,104.06586689775216,26.016466724438047,637.1647338867188,159.2911834716797,1502090503111.0,4.0
0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,130.08233362219022,26.016466724438047,873.3069610595703,174.66139221191406,1517050601027.0,5.0
0.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,211.84836417402974,35.308060695671635,1093.2405395507812,182.20675659179688,3119171701184.0,6.0
0.0,0.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,189.54854585303727,31.59142430883954,922.2120666503906,153.70201110839844,5101060203002.0,6.0
0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,89.19931534211712,89.19931534211712,47.507896423339844,47.507896423339844,1507540701051.0,1.0
0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,118.93242446169396,29.73310611542349,134.13993835449222,33.534984588623054,4503080803041.0,4.0
0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,55.74956983570818,27.87478491785409,104.7968292236328,52.398414611816406,6502070303087.0,2.0
0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,211.84836417402974,35.308060695671635,335.34983825683594,55.891639709472656,3102111103102.0,6.0
0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,59.46621223084698,29.73310611542349,167.6749267578125,83.83746337890625,4311060501313.0,2.0
0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,78.04940017331413,26.016466724438047,251.51239013671875,83.83746337890625,1101010303037.0,3.0
0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,83.62435475356227,27.87478491785409,234.7449188232422,78.24830627441406,2512130701162.0,3.0
0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,89.19931834627046,29.73310611542349,251.51239013671875,83.83746337890625,4513181003055.0,3.0
0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,55.74956983570818,55.74956983570818,80.48396682739258,80.48396682739258,2502050703020.0,1.0
0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,104.06586689775216,26.016466724438047,335.349853515625,83.83746337890625,1502120501123.0,4.0
0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,104.06586689775216,26.016466724438047,335.349853515625,83.83746337890625,1101030203024.0,4.0
0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,111.49913967141636,55.74956983570818,201.2099151611328,100.6049575805664,2101040103148.0,2.0
0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,130.08233362219022,26.016466724438047,503.02478790283203,100.6049575805664,1106030103103.0,5.0
0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,104.06586689775216,26.016466724438047,419.1873168945312,104.7968292236328,1111041201131.0,4.0
0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,70.61612139134327,35.308060695671635,201.2099151611328,100.6049575805664,3506702401202.0,2.0
0.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,130.08233362219022,26.016466724438047,503.02478790283203,100.6049575805664,1502040703103.0,5.0
0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.59142430883954,31.59142430883954,100.6049575805664,100.6049575805664,5106020103086.0,1.0
0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,163.53207312029247,81.76603656014623,216.34723917643225,108.17361958821613,1502581003145.0,2.0
0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,78.04940017331413,26.016466724438047,335.34983825683594,111.78327941894531,1512060901093.0,3.0
0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26.016466724438047,26.016466724438047,100.6049575805664,100.6049575805664,1502060603022.0,1.0
0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,156.09880034662825,26.016466724438047,670.6996765136719,111.78327941894531,1512581001053.0,6.0
0.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,78.04940017331413,26.016466724438047,335.34983825683594,111.78327941894531,1507051103007.0,3.0
0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,156.09880034662825,26.016466724438047,657.2857360839844,109.54762268066406,1502030803075.0,6.0
0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,234.14820051994235,26.016466724438047,905.4446182250977,100.6049575805664,1507540701018.0,8.999999999999998
0.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,83.62435475356227,27.87478491785409,3311.57958984375,1103.85986328125,2101510201090.0,3.0
0.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,301.04768552445364,150.52384276222682,1528.0216064453125,764.0108032226562,1502060603124.0,2.0
0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,304.7643219112857,152.38216095564286,1361.8418212890624,680.9209106445312,2502561203141.0,2.0
0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,105.92418208701487,35.308060695671635,2904.9680786132812,968.3226928710938,3201022303023.0,3.0
