children,old,urban,decile,cat1workers,cat2workers,cat3workers,cat4workers,cat5workers,cat6workers,cat7workers,totweight,weight,totY,Y,idh,nbpeople
0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10482.0,5241.0,33.803832045023285,16.901916022511642,1.113004197046293e+19,2.0
3.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,19985.0,3997.0,19.89135671832738,3.9782713436654755,1.113004197046293e+19,5.0
2.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1036.0,259.0,29.01765582767386,7.254413956918465,1.113004197046293e+19,4.0
1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,11139.0,3713.0,17.93074184095655,5.976913946985519,1.113004197046293e+19,3.0
2.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,33732.0,8433.0,23.53380638954776,5.88345159738694,1.113004197046293e+19,4.0
1.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,7236.0,1809.0,54.077429268703206,13.519357317175801,1.113004197046293e+19,4.0
2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,55628.0,13907.0,29.69393237662596,7.42348309415649,1.113004197046293e+19,4.0
2.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,61880.0,15470.0,36.02099962809866,9.005249907024664,1.113004197046293e+19,4.0
6.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,6327.0,703.0,61.4611152880363,6.82901280978181,1.113004197046293e+19,9.0
2.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,43620.0,10905.0,23.470482501005904,5.867620625251476,1.113004197046293e+19,4.0
1.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7185.0,2395.0,39.64455758369828,13.214852527899426,1.113004197046293e+19,3.0
1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5664.0,2832.0,18.041872597438722,9.020936298719361,1.113004197046293e+19,2.0
1.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,7700.0,1540.0,63.73363891206093,12.746727782412185,1.113041857585943e+19,5.0
0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11358.0,3786.0,51.022637332443814,17.007545777481273,1.113041857585943e+19,3.0
1.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,16036.0,4009.0,54.07138380781969,13.517845951954923,1.113041857585943e+19,4.0
1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,777.0,259.0,14.446509636971562,4.815503212323854,1.113041857585943e+19,3.0
0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4767.0,4767.0,5.65184983372812,5.65184983372812,1.113041857585943e+19,1.0
4.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7104.0,1184.0,46.87090715414798,7.8118178590246625,1.113041857585943e+19,6.0
0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,653.0,653.0,8.844568747141716,8.844568747141716,1.113041857585943e+19,1.0
0.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1295.0,259.0,35.43134151308066,7.086268302616133,1.113041857585943e+19,5.0
1.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3876.0,969.0,62.61428868047802,15.653572170119505,1.113041857585943e+19,4.0
2.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,52056.0,13014.0,43.960128109167194,10.990032027291798,1.113041857585943e+19,4.0
0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,17162.0,8581.0,69.63527199618557,34.81763599809278,1.113041857585943e+19,2.0
2.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6124.0,1531.0,35.96236775498402,8.990591938746006,1.113042003366763e+19,4.0
1.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1410.0,282.0,79.31762837934568,15.863525675869136,1.113042003366763e+19,5.0
4.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8094.0,1349.0,13.819765050855057,2.3032941751425096,1.113042003366763e+19,6.0
