children,old,urban,decile,cat1workers,cat2workers,cat3workers,cat4workers,cat5workers,cat6workers,cat7workers,totweight,weight,totY,Y,idh,nbpeople
0.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,810.1799926757812,405.0899963378906,9.505956689280973,4.7529783446404865,101.0,2.0
3.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,508.0199890136719,84.66999816894531,46.672446926143614,7.778741154357268,103.0,6.0
0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23950.5300655365,23950.5300655365,26.662006087696266,26.662006087696266,104.0,1.0
0.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,254.00999450683594,84.66999816894531,275.8007816364591,91.93359387881969,105.0,3.0
0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2830.139980316162,943.3799934387207,40.79930755541475,13.59976918513825,106.0,3.0
0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,508.0199890136719,84.66999816894531,158.10096232801928,26.35016038800321,112.0,6.0
0.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,169.81999969482422,169.81999969482422,7.025727270268654,7.025727270268654,113.0,1.0
0.0,0.0,3.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,254.00999450683594,84.66999816894531,73.13829036563469,24.37943012187823,115.0,3.0
1.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4389.320053100586,1097.3300132751465,33.872908658271704,8.468227164567926,201.0,4.0
1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1348.640007019043,674.3200035095215,9.71540069343964,4.85770034671982,202.0,2.0
1.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1855.199966430664,463.799991607666,14.818226348909326,3.7045565872273314,203.0,4.0
