children,old,urban,decile,cat1workers,cat2workers,cat3workers,cat4workers,cat5workers,cat6workers,cat7workers,totweight,weight,totY,Y,idh,nbpeople
0.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,85327.3171081543,85327.3171081543,82.4268195746272,82.4268195746272,200.0,1.0
0.0,0.0,2.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,95519.76495361328,47759.88247680664,303.12538936122206,151.56269468061103,300.0,2.0
0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6761.197570800781,6761.197570800781,46.34346375690719,46.34346375690719,800.0,1.0
0.0,1.0,2.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21608.630493164062,10804.315246582031,322.01259617320966,161.00629808660483,900.0,2.0
0.0,0.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,57910.645263671875,57910.645263671875,70.4384937509398,70.4384937509398,1000.0,1.0
0.0,0.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,139783.2812652588,139783.2812652588,152.72824772110312,152.72824772110312,1100.0,1.0
1.0,0.0,3.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,21491.30030822754,7163.76676940918,242.3539434593783,80.78464781979278,1200.0,3.0
2.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8321.546875,2080.38671875,155.76730213683373,38.941825534208434,1400.0,4.0
2.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14578.73876953125,4859.57958984375,89.17488149801635,29.724960499338785,1700.0,3.0
0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39517.13836669922,39517.13836669922,46.01886253004831,46.01886253004831,1800.0,1.0
0.0,0.0,2.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4606.8638916015625,2303.4319458007812,139.88344844867325,69.94172422433662,1900.0,2.0
0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44215.64797973633,44215.64797973633,82.08441111462064,82.08441111462064,2000.0,1.0
1.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,9846.75,2461.6875,183.51981669565882,45.879954173914705,2200.0,4.0
0.0,0.0,2.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,84140.8226928711,42070.41134643555,207.24224224275912,103.62112112137956,2400.0,2.0
0.0,0.0,3.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,12760.575073242188,4253.5250244140625,243.21086731222405,81.07028910407467,2500.0,3.0
0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8175.128601074219,4087.5643005371094,342.6071542239862,171.3035771119931,2700.0,2.0
0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46953.49203491211,46953.49203491211,59.592131401738364,59.592131401738364,3100.0,1.0
0.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70356.40441894531,35178.202209472656,119.23450021122808,59.61725010561404,3200.0,2.0
1.0,0.0,3.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,17039.8419342041,5679.947311401367,292.08867038934477,97.36289012978159,3700.0,3.0
0.0,0.0,4.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,17221.969604492188,4305.492401123047,327.64881626253737,81.91220406563434,3900.0,4.0
1.0,0.0,3.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,15397.09309387207,5132.364364624023,208.62555722905836,69.5418524096861,4200.0,3.0
0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,7878.295166015625,2626.098388671875,160.58609247768243,53.52869749256081,4400.0,3.0
0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12361.103790283203,12361.103790283203,68.81860200265861,68.81860200265861,4600.0,1.0
2.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,27733.385864257812,6933.346466064453,177.82178578943376,44.45544644735844,4700.0,4.0
0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2493.3074340820312,1246.6537170410156,76.02830299356171,38.014151496780855,5200.0,2.0
2.0,0.0,4.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,36589.095642089844,9147.273910522461,238.58367133062166,59.645917832655414,5500.0,4.0
0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52887.950256347656,26443.975128173828,62.77970386941418,31.38985193470709,5600.0,2.0
0.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54269.77230834961,27134.886154174805,206.16980048762017,103.08490024381008,5900.0,2.0
0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30667.52963256836,30667.52963256836,38.64972652147505,38.64972652147505,6300.0,1.0
1.0,0.0,3.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13256.694305419922,4418.898101806641,308.122610733918,102.70753691130601,6500.0,3.0
0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10813.077880859375,10813.077880859375,99.82968715383052,99.82968715383052,6800.0,1.0
0.0,0.0,3.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,16640.463775634766,5546.821258544922,176.5915502393621,58.86385007978737,7600.0,3.0
