children,old,decile,cat1workers,cat2workers,cat3workers,cat4workers,cat5workers,cat6workers,cat7workers,totweights,hhweights,totY,Y,idh,nbpeople
1.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,22270.797739505768,7423.599246501923,1709.5488240784703,569.8496080261567,511.0,3.0
1.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,12032.860077857971,3008.215019464493,2205.548619399836,551.387154849959,5750.0,4.0
1.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,5514.018535614014,1102.8037071228027,2542.848616100493,508.5697232200986,3178.0,5.0
1.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,687.949387550354,114.65823125839233,3311.0575358072915,551.8429226345486,32246.0,6.0
1.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,72.96432685852051,10.42347526550293,4655.378326416016,665.0540466308594,37450.0,7.0
1.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,400.2614574432373,100.06536436080933,1895.1994086371528,473.7998521592882,10870.0,4.0
1.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,406.5155506134033,81.30311012268066,2217.5201161702475,443.5040232340495,8979.0,5.0
1.0,0.0,10.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,108.40414428710938,27.101036071777344,1438.01708984375,359.5042724609375,180668.0,4.0
1.0,0.0,10.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,114.6582317352295,22.9316463470459,2645.1742045084634,529.0348409016927,23321.0,5.000000000000001
1.0,0.0,10.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,118.82762145996094,19.804603576660156,2439.0411987304688,406.5068664550781,65439.0,6.0
1.0,0.0,10.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,162.60621643066406,27.101036071777344,2057.6304931640625,342.93841552734375,20900.0,6.0
1.0,0.0,10.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,50.03268051147461,12.508170127868652,1378.33349609375,344.5833740234375,61971.0,4.0
1.0,0.0,10.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,52.11737632751465,10.42347526550293,1651.6899108886719,330.3379821777344,6012.0,5.0
1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,967.2985305786133,483.64926528930664,1099.5469430776743,549.7734715388372,4300.0,2.0
1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1131.989423274994,377.3298077583313,1682.2943237304687,560.7647745768229,5703.0,3.0
1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1559.3519172668457,389.8379793167114,1995.2019914899554,498.80049787248885,2730.0,4.0
1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,442.9977035522461,88.59954071044922,2758.2486979166665,551.6497395833334,25491.0,5.0
1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,271.0103645324707,135.50518226623535,927.1525115966797,463.57625579833984,23150.0,2.0
1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2392.18763422966,797.3958780765533,1339.965609741211,446.6552032470703,3732.0,3.0
1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1017.3311996459961,254.33279991149902,2388.3544026692707,597.0886006673177,37144.0,4.0
1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,370.0333833694458,74.00667667388916,3029.6103286743164,605.9220657348633,129231.0,5.0
1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,150.09804153442383,25.016340255737305,2599.8579711914062,433.3096618652344,211652.0,6.0
1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,872.4448800086975,290.81496000289917,1650.994327320772,550.3314424402573,2878.0,3.0
1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,387.75329208374023,96.93832302093506,1901.4168497721355,475.3542124430339,3810.0,4.0
1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,62.54085063934326,12.508170127868652,2570.01220703125,514.00244140625,86587.0,5.0
1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,662.9330520629883,110.48884201049805,4595.814056396484,765.9690093994141,8650.0,6.0
1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,50.03268051147461,12.508170127868652,1482.3896484375,370.597412109375,191202.0,4.0
1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,125.0817060470581,25.01634120941162,2370.252227783203,474.0504455566406,144530.0,5.0
1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,56.28676986694336,9.381128311157227,6346.549072265626,1057.7581787109377,37503.0,6.0
1.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,141.75926399230957,70.87963199615479,724.6318359375,362.31591796875,49787.0,2.0
1.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,300.19609022140503,100.06536340713501,1535.4046669006348,511.8015556335449,19431.0,3.0
1.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,533.6819400787354,133.42048501968384,1957.4377848307292,489.3594462076823,24723.0,4.0
1.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,109.4464921951294,21.88929843902588,3358.6952972412114,671.7390594482423,116908.0,5.0
1.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,53.1597261428833,17.719908714294434,1638.78515625,546.26171875,173189.0,3.0
1.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,91.7265853881836,22.9316463470459,2183.4230957031245,545.8557739257811,5686.0,4.0
1.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,37.524513244628906,9.381128311157227,2178.4680175781245,544.6170043945311,189068.0,4.0
1.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,119.86996650695801,23.9739933013916,2185.5755615234375,437.1151123046875,169709.0,5.0
1.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,121.95465946197511,40.6515531539917,972.0552978515625,324.0184326171875,150483.0,3.0000000000000004
1.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,33.35512161254883,8.338780403137207,2522.13134765625,630.5328369140625,167893.0,4.0
1.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,52.11737632751465,10.42347526550293,2765.299987792969,553.0599975585939,135408.0,5.0
