children,old,decile,cat1workers,cat2workers,cat3workers,cat4workers,cat5workers,cat6workers,cat7workers,totweight,weight,totY,Y,idh,nbpeople
2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3108.16650390625,777.0416259765625,76.95232009887695,19.23808002471924,1301.0,4.0
2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2331.1248779296875,388.52081298828125,21.67233180999756,3.6120553016662598,1053310.0,6.0
2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2331.1248779296875,777.0416259765625,45.57376956939697,15.191256523132324,722306.0,3.0
2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1942.6040649414065,388.52081298828125,61.63399696350098,12.326799392700195,1167311.0,5.0
2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1942.6040649414065,388.52081298828125,92.37892150878905,18.47578430175781,896309.0,5.0
2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1165.5624389648438,388.52081298828125,7.258430242538452,2.4194767475128174,613302.0,3.0
2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3108.16650390625,777.0416259765625,41.24452018737793,10.311130046844482,17305.0,4.0
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1942.6040649414065,388.52081298828125,40.569167137146,8.113833427429201,57304.0,5.0
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3108.16650390625,777.0416259765625,23.33522605895996,5.83380651473999,85307.0,4.0
2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1942.6040649414065,388.52081298828125,36.06236219406128,7.212472438812256,18303.0,5.0
2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5827.812194824219,1942.6040649414065,43.76505746841432,14.588352489471436,112310.0,3.0
2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10878.582763671877,2719.645690917969,45.54138020106724,11.38534505026681,14315.0,4.0
2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1554.083251953125,388.52081298828125,86.23823547363281,21.559558868408203,909314.0,4.0
2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1942.6040649414065,388.52081298828125,102.47381210327148,20.494762420654297,1152307.0,5.0
2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2719.645690917969,388.52081298828125,119.2129287719727,17.030418395996097,1149302.0,7.0
2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2331.1248779296875,388.52081298828125,77.060302734375,12.8433837890625,881315.0,6.0
2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1942.6040649414065,388.52081298828125,97.9573440551758,19.59146881103516,881311.0,5.0
2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,2719.645690917969,388.52081298828125,125.18741798400879,17.8839168548584,89308.0,7.0
2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1942.6040649414065,388.52081298828125,107.66828536987305,21.53365707397461,437313.0,5.0
2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,4662.249755859375,777.0416259765625,67.07068455219269,11.178447425365448,84308.0,6.0
2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,43514.3310546875,10878.582763671877,62.286461353302,15.5716153383255,56304.0,4.0
2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,3108.16650390625,388.52081298828125,167.3910369873047,20.923879623413086,1162305.0,8.0
2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,9713.020324707033,1942.6040649414065,80.05667543411255,16.01133508682251,566304.0,5.0
2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,5439.291381835938,777.0416259765625,102.88509178161621,14.697870254516602,191310.0,7.0
2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,3496.6873168945312,388.52081298828125,184.27563858032227,20.47507095336914,1157314.0,9.0
2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2331.1248779296875,388.52081298828125,119.5429573059082,19.923826217651367,1193303.0,6.0
2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,17483.436584472656,3496.6873168945312,82.24967797597247,16.4499355951945,907311.0,5.0
2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,4662.249755859375,777.0416259765625,117.24479484558105,19.540799140930176,768314.0,6.0
2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2331.1248779296875,388.52081298828125,45.47514152526856,7.579190254211426,1150306.0,6.0
2.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2331.1248779296875,388.52081298828125,121.50347900390624,20.25057983398437,1090308.0,6.0
2.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,9324.49951171875,1554.083251953125,81.3916883468628,13.5652813911438,890301.0,6.0
2.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,8158.937072753906,1165.5624389648438,87.7522361079852,12.536033729712166,737309.0,7.0
2.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5439.291381835938,777.0416259765625,106.82472801208496,15.260675430297852,1128314.0,7.0
2.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,4662.249755859375,388.52081298828125,220.42160797119138,18.368467330932614,892303.0,12.0
2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1942.6040649414065,388.52081298828125,79.2997932434082,15.85995864868164,274307.0,5.0
2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1165.5624389648438,388.52081298828125,58.68197250366211,19.560657501220703,1181302.0,3.0
2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1554.083251953125,388.52081298828125,63.3122673034668,15.8280668258667,37305.0,4.0
2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1942.6040649414065,388.52081298828125,108.58193397521973,21.716386795043945,58315.0,5.0
2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,3496.6873168945312,388.52081298828125,143.35857868194583,15.928730964660645,1169309.0,9.0
2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1942.6040649414065,388.52081298828125,10.530437231063845,2.106087446212769,431309.0,5.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3885.208129882813,777.0416259765625,86.16565942764281,17.233131885528564,430315.0,5.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2331.1248779296875,777.0416259765625,12.363399982452393,4.121133327484132,4303.0,3.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4662.249755859375,1165.5624389648438,57.3393071492513,14.334826787312824,14307.0,4.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1554.083251953125,388.52081298828125,51.77328872680664,12.94332218170166,1090313.0,4.0
2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4662.249755859375,1165.5624389648438,41.45196215311687,10.362990538279217,8314.0,4.0
2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2331.1248779296875,388.52081298828125,89.82919120788574,14.971531867980955,1162306.0,6.0
2.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,2719.645690917969,388.52081298828125,72.70512199401854,10.386445999145508,906315.0,7.0
2.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2331.1248779296875,388.52081298828125,126.25989532470702,21.043315887451172,1194312.0,6.0
