children,old,decile,cat1workers,cat2workers,cat3workers,cat4workers,cat5workers,cat6workers,cat7workers,totweight,weight,totY,Y,idh,nbpeople
0.0,0.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,9909.659454345705,2477.4148635864262,2809.9837799072266,702.4959449768066,1.0,4.0
0.0,0.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8121.32666015625,2707.10888671875,2629.0518646240234,876.3506215413413,837.0,3.0
0.0,0.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2066.221408843994,413.2442817687988,3005.024871826172,601.0049743652344,1076.0,5.0
0.0,0.0,10.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,4885.10107421875,1221.2752685546875,3373.89697265625,843.4742431640625,830.0,4.0
0.0,0.0,10.0,0.0,3.0,0.0,0.0,1.0,1.0,3.0,935.18310546875,116.89788818359376,3449.273193359375,431.1591491699219,2126.0,8.0
0.0,0.0,10.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,620.3791427612305,124.0758285522461,3259.124755859375,651.824951171875,2788.0,5.0
0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,23841.01621627808,7947.005405426025,2394.842481340681,798.2808271135602,137.0,3.0
0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10894.06262588501,5447.031312942505,1484.8973779296875,742.4486889648438,19.0,2.0
0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1767.8241271972656,441.9560317993164,3073.203198242188,768.3007995605469,1942.0,4.0
0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,6619.0864181518555,1323.8172836303709,3011.2213134765625,602.2442626953125,242.0,5.0
0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,455.2864990234375,113.82162475585938,2101.291015625,525.32275390625,3462.0,4.0
0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2821.955978393555,705.4889945983888,3143.6222737630214,785.9055684407554,22.0,4.0
0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2470.2368774414067,823.4122924804688,1880.84765625,626.94921875,128.0,3.0
0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,999.7845458984376,199.9569091796875,2221.422576904297,444.2845153808594,2989.0,5.0
0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,2430.2455444335933,405.0409240722656,3095.646240234375,515.9410400390625,624.0,6.0
0.0,0.0,10.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,73.83024597167969,18.457561492919922,1835.6802978515625,458.9200744628906,12704.0,4.0
0.0,0.0,10.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,213.2873687744141,53.32184219360352,2886.276123046875,721.5690307617188,11609.0,4.0
0.0,0.0,10.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,802.9039077758789,267.63463592529297,1631.6699981689453,543.8899993896483,11221.0,3.0
0.0,0.0,10.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1123.860382080078,280.9650955200196,1708.975830078125,427.24395751953125,2789.0,4.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2488.6944770812993,2488.6944770812993,510.5407375759549,510.5407375759549,440.0,1.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2998.328231811524,1499.164115905762,1465.7465515136719,732.8732757568359,1325.0,2.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2627.126220703125,875.708740234375,1820.1751098632806,606.7250366210938,944.0,3.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,430.6764221191406,86.13528442382812,3033.6251831054688,606.7250366210938,4199.0,5.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,163.0417900085449,54.34726333618164,2285.331115722656,761.7770385742188,2086.0,3.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,662.4213409423827,331.21067047119135,1614.5478922526045,807.2739461263022,2073.0,2.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2022.1283569335935,1011.0641784667968,1094.8011322021484,547.4005661010742,627.0,2.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,206.10943222045898,206.10943222045898,730.6596577962241,730.6596577962241,1805.0,1.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1607.8586196899414,803.9293098449707,1210.2657402886286,605.1328701443143,1200.0,2.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5364.997730255127,5364.997730255127,567.7595084054129,567.7595084054129,614.0,1.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,532.1930236816406,177.39767456054688,1371.1985778808596,457.0661926269531,3524.0,3.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,63.57604217529297,31.788021087646484,2018.4627685546875,1009.2313842773438,7467.0,2.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,799.82763671875,199.9569091796875,3775.380493164063,943.8451232910156,3642.0,4.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2610.719390869141,1305.3596954345705,903.8771260579429,451.93856302897143,104.0,2.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,289.16844177246094,48.194740295410156,3235.866943359375,539.3111572265625,10810.0,6.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,559.8793487548827,186.6264495849609,1645.2361450195315,548.4120483398439,5645.0,3.0
0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,421.44763946533203,421.44763946533203,976.377888997396,976.377888997396,2725.0,1.0
0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1267.419189453125,316.85479736328125,2851.607666015625,712.9019165039062,9571.0,4.0
0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,241.99913024902344,120.99956512451172,1674.686767578125,837.3433837890625,6614.0,2.0
0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,332.23609924316406,166.11804962158203,1341.1316528320312,670.5658264160156,1141.0,2.0
0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1778.0783882141113,1778.0783882141113,565.6152292887368,565.6152292887368,1430.0,1.0
0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,473.7440643310547,157.91468811035156,1880.9989013671875,626.9996337890625,13186.0,3.0
0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,885.9629516601562,295.32098388671875,2274.782958984375,758.260986328125,8347.0,3.0
0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,88.18612670898438,44.09306335449219,1556.4119873046875,778.2059936523438,10597.0,2.0
0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,280.9650955200196,140.48254776000977,1784.4717203776045,892.2358601888022,1462.0,2.0
0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,377.3545837402344,94.3386459350586,1948.645263671875,487.1613159179688,1884.0,4.0
0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,20049.012920379642,10024.506460189821,1472.9843173556858,736.4921586778429,86.0,2.0
0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9195.96701812744,9195.96701812744,721.2144638587689,721.2144638587689,8.0,1.0
0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,9862.490020751951,3287.4966735839844,2046.963853102464,682.321284367488,56.0,3.0
0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,5282.963989257813,1320.7409973144534,2439.641357421875,609.9103393554688,26.0,4.0
0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,3121.378662109375,780.3446655273438,2325.779296875,581.44482421875,10.0,4.0
0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,316.8548011779785,105.61826705932616,2230.7256317138667,743.5752105712891,1978.0,3.0
0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5276.811637878418,2638.405818939209,1839.4554931640625,919.7277465820313,170.0,2.0
0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3761.2406616210938,940.3101654052734,3363.7510375976562,840.9377593994141,688.0,4.0
0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,112.79620170593262,22.559240341186523,3401.7074584960938,680.3414916992188,6995.0,5.0
0.0,0.0,10.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,695.2348022460938,231.74493408203125,1439.28662109375,479.76220703125,2915.0,3.0
0.0,0.0,10.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,348.642822265625,174.3214111328125,1128.0875244140625,564.0437622070312,5646.0,2.0
0.0,0.0,10.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,131.25376892089844,32.81344223022461,1597.7092285156252,399.4273071289063,1178.0,4.0
0.0,0.0,10.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,4448.272155761719,1482.7573852539062,1821.5872192382806,607.1957397460938,133.0,3.0
0.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,993.6320343017578,331.21067810058594,3781.5825805664062,1260.5275268554688,2992.0,3.0
0.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,217.38905334472656,54.34726333618164,3290.607177734375,822.6517944335938,1997.0,4.0
0.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1851.9085693359373,617.3028564453125,3903.264404296875,1301.088134765625,186.0,3.0
0.0,0.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1901.128692626953,633.7095642089844,1915.9957580566406,638.6652526855469,2932.0,3.0
0.0,0.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,205.0840072631836,102.5420036315918,1197.8087158203125,598.9043579101562,1379.0,2.0
0.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,3686.385154724121,737.2770309448242,3016.603164672852,603.3206329345702,650.0,5.0
0.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1082.8435668945312,270.7108917236328,2283.0390869140624,570.7597717285156,1952.0,4.0
0.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,10102.4384765625,1683.73974609375,3296.539672851563,549.4232788085939,163.0,6.0
0.0,0.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2907.0657348632812,581.4131469726562,7327.7215576171875,1465.5443115234375,240.0,5.0
0.0,0.0,10.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,738.3024597167969,147.66049194335938,2341.621551513672,468.3243103027344,5984.0,5.0
0.0,0.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,397.8629760742188,99.46574401855469,2606.953531901041,651.7383829752604,1262.0,4.0
0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,396.8375473022461,132.27918243408206,1498.8015747070312,499.60052490234375,1091.0,3.0
0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14507.642734527588,7253.821367263794,1270.5357397460934,635.2678698730467,17.0,2.0
0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,689.082275390625,172.27056884765625,1840.3994140625,460.099853515625,3643.0,4.0
0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,557.8284912109375,139.45712280273438,2155.08740234375,538.7718505859375,12479.0,4.0
0.0,0.0,10.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1162.8262939453125,387.6087646484375,2027.0689086914065,675.6896362304688,959.0,3.0
0.0,0.0,10.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,233.79577636718759,58.44894409179688,3773.695068359375,943.4237670898438,2260.0,4.0
0.0,0.0,10.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2968.5910034179688,593.7182006835938,2089.869537353516,417.9739074707031,723.0,5.0
