children,old,decile,cat1workers,cat2workers,cat3workers,cat4workers,cat5workers,cat6workers,cat7workers,totweight,weight,totY,Y,idh,nbpeople
2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,747.9349594116211,124.65582656860352,658.8998107910156,109.81663513183594,1.0,6.0
2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,542.3955535888672,108.47911071777344,562.5333595275879,112.50667190551758,3719.0,5.0
2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,232.1833648681641,58.04584121704102,487.05419921875,121.7635498046875,1183.0,4.0
2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,464.3667297363282,58.04584121704102,1057.4202880859377,132.17753601074222,2396.0,8.0
2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2973.6599731445312,594.7319946289062,583.1655332777235,116.63310665554472,2862.0,5.0
2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,11163.833236694336,2790.958309173584,469.5285979480278,117.38214948700696,319.0,4.0
2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1296.0399398803709,432.013313293457,345.0666275024414,115.02220916748048,904.0,3.0
2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,945.8617553710938,135.12310791015622,832.516357421875,118.930908203125,5706.0,7.0
2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1632.8961868286133,272.14936447143555,712.3471984863281,118.72453308105469,916.0,6.0
2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,623.2791328430177,124.65582656860352,560.7532119750977,112.15064239501952,1369.0,5.0
2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2489.310211181641,622.3275527954103,480.45428161621095,120.11357040405274,2421.0,4.0
2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,242.6506576538086,80.88355255126953,390.36094665527327,130.12031555175778,14519.0,3.0
2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,348.2750473022461,58.04584121704102,712.0675048828126,118.67791748046876,2841.0,6.0
2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3848.153900146485,962.0384750366212,473.98220355694116,118.49555088923529,4255.0,4.0
2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4016.582004547119,1338.860668182373,362.28751627604174,120.76250542534723,677.0,3.0
2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1508.2403182983398,301.648063659668,579.9953079223633,115.99906158447266,8750.0,5.0
2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,466.2698974609375,66.6099853515625,744.110595703125,106.301513671875,7769.0,7.0
2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,266.43994140625,66.6099853515625,500.79711914062494,125.19927978515624,8675.0,4.0
2.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1718.5375900268555,286.42293167114263,717.3900833129883,119.56501388549805,1666.0,6.0
2.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1850.8059692382806,370.16119384765625,562.2247759501139,112.44495519002277,2913.0,5.0
2.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3261.986038208008,815.496509552002,479.5728200276692,119.8932050069173,617.0,4.0
2.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,404.41776275634766,80.88355255126953,568.7259292602539,113.74518585205078,15369.0,5.0
2.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,433.91644287109375,54.23955535888672,864.5260009765625,108.06575012207031,4659.0,8.0
2.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,333.0499267578125,66.6099853515625,586.1502456665039,117.23004913330078,9390.0,5.0
2.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,290.2292060852052,58.04584121704102,548.2920455932617,109.65840911865234,3120.0,5.0
2.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1296.0399627685547,216.00666046142575,780.1286315917969,130.02143859863278,4599.0,6.0
2.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,631.84326171875,157.9608154296875,447.94805908203125,111.9870147705078,10797.0,4.0
2.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1132.3697357177734,161.76710510253906,817.5810356140138,116.79729080200195,19530.0,7.0
2.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,485.3013153076172,80.88355255126953,635.6878051757812,105.94796752929688,16842.0,6.0
2.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,737.4676895141603,147.49353790283203,564.2239761352539,112.84479522705078,9161.0,5.0
2.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3220.116943359375,805.0292358398438,480.16273803710936,120.04068450927734,11916.0,4.0
2.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1213.253288269043,404.41776275634766,366.81947021484376,122.27315673828123,12706.0,3.0
2.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,462.4635772705078,77.07726287841797,817.2161865234374,136.20269775390622,11112.0,6.0
2.0,0.0,7.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,485.3013153076172,80.88355255126953,826.8521118164062,137.80868530273438,16727.0,6.0
2.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,485.3013153076172,80.88355255126953,786.2170715332032,131.03617858886722,13148.0,6.0
