children,old,urban,decile,cat1workers,cat2workers,cat3workers,cat4workers,cat5workers,cat6workers,cat7workers,totweight,weight,totY,Y,idh,nbpeople
0.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54780.0,27390.0,49.6482551264471,24.82412756322355,100.0,2.0
0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13608.0,13608.0,33.942740534227184,33.942740534227184,200.0,1.0
0.0,2.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,840.0,280.0,107.902484452136,35.967494817378665,300.0,3.0
0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4975.0,4975.0,12.061401303634728,12.061401303634728,500.0,1.0
2.0,0.0,4.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8140.0,2035.0,136.07029144586653,34.01757286146663,600.0,4.0
0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16453.0,16453.0,11.905563030230262,11.905563030230262,700.0,1.0
0.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60814.0,30407.0,44.29909039414263,22.149545197071316,800.0,2.0
0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6598.0,3299.0,49.489500528380724,24.744750264190362,900.0,2.0
0.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8398.0,4199.0,39.82116470517758,19.91058235258879,1100.0,2.0
0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24235.0,24235.0,16.717422936735208,16.717422936735208,1300.0,1.0
0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1748.0,874.0,25.585345051455317,12.792672525727658,1400.0,2.0
0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,930.0,186.0,64.68034037518414,12.936068075036829,1500.0,5.0
0.0,0.0,5.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,3485.0,697.0,142.06235688183256,28.41247137636651,1700.0,5.0
0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,11508.0,3836.0,23.531588325214614,7.843862775071538,1800.0,3.0
0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6976.0,3488.0,28.422163979304447,14.211081989652223,1900.0,2.0
0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2912.0,1456.0,14.344217617612985,7.172108808806493,2000.0,2.0
0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9516.0,4758.0,24.33401995908082,12.16700997954041,2200.0,2.0
0.0,0.0,2.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,18262.0,9131.0,57.97291301564701,28.986456507823505,2300.0,2.0
0.0,0.0,4.0,9.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3952.0,988.0,135.2081257169954,33.80203142924885,2400.0,4.0
0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14674.0,7337.0,28.871108282652397,14.435554141326199,2500.0,2.0
