children,old,urban,decile,cat1workers,cat2workers,cat3workers,cat4workers,cat5workers,cat6workers,cat7workers,totweight,weight,totY,Y,idh,nbpeople
0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16285.813186645508,16285.813186645508,42.147786192467144,42.147786192467144,100.0,1.0
0.0,0.0,2.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5852.460235595703,2926.2301177978516,154.89566759749727,77.44783379874863,200.0,2.0
2.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4963.033447265625,1240.7583618164062,230.42983683684042,57.607459209210106,300.0,4.0
0.0,0.0,0.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1054.125,351.375,184.48587252563712,61.49529084187904,400.0,3.0
0.0,0.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,32031.723541259766,32031.723541259766,118.04038079114494,118.04038079114494,500.0,1.0
1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6869.6884765625,1717.422119140625,63.16499338542675,15.791248346356687,600.0,4.0
0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38304.370948791504,38304.370948791504,38.31470360386926,38.31470360386926,700.0,1.0
0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1091.8299942016602,1091.8299942016602,255.65152771776678,255.65152771776678,800.0,1.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2112.3440551757812,422.46881103515625,147.14729782300773,29.429459564601547,900.0,5.0
2.0,0.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7778.8131103515625,1944.7032775878906,149.9585024187847,37.48962560469617,1000.0,4.0
0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.5374145507812,690.2687072753906,66.20727926074298,33.10363963037149,1100.0,2.0
2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,641.7329864501953,106.95549774169922,85.35950474767768,14.226584124612947,1200.0,6.0
0.0,2.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16040.734535217285,8020.367267608643,207.68634811561233,103.84317405780617,1300.0,2.0
0.0,1.0,4.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2686.6533203125,671.663330078125,379.79804439781344,94.94951109945336,1400.0,4.0
0.0,0.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12232.673561096191,12232.673561096191,75.70158882752955,75.70158882752955,1700.0,1.0
0.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12337.124290466309,12337.124290466309,110.39545379205786,110.39545379205786,1900.0,1.0
1.0,0.0,3.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,18851.381378173828,6283.793792724609,115.46872191223295,38.48957397074431,2100.0,3.0
0.0,0.0,3.0,6.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2237.2161254882812,745.7387084960938,135.15618467570275,45.05206155856758,2500.0,3.0
0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17172.565322875977,17172.565322875977,29.815416707645255,29.815416707645255,2600.0,1.0
0.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13445.527610778809,13445.527610778809,75.75071024494792,75.75071024494792,3000.0,1.0
0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16821.24761581421,16821.24761581421,42.18108654440582,42.18108654440582,3100.0,1.0
0.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11888.514221191406,5944.257110595703,214.995728879382,107.497864439691,3200.0,2.0
0.0,0.0,5.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,5966.6900634765625,1193.3380126953125,279.461128028398,55.89222560567959,3300.0,5.0
0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28660.531856536865,28660.531856536865,38.42688073997809,38.42688073997809,3500.0,1.0
0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,681.4227752685547,681.4227752685547,123.76013313413864,123.76013313413864,3600.0,1.0
0.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17719.96810913086,8859.98405456543,99.16400119216132,49.58200059608066,3800.0,2.0
1.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10300.319366455078,3433.4397888183594,84.39843699309495,28.132812331031648,4000.0,3.0
1.0,0.0,3.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,21716.09848022461,7238.699493408203,229.43910384608938,76.47970128202978,4100.0,3.0
2.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1076.8662414550781,179.4777069091797,123.03890440505559,20.506484067509266,4500.0,6.0
0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,359.7284851074219,359.7284851074219,79.31566261981617,79.31566261981617,4600.0,1.0
3.0,0.0,5.0,10.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,808.8044738769531,161.76089477539062,494.4648336073682,98.89296672147364,4700.0,5.0
0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16368.819351196289,8184.4096755981445,118.64859777515773,59.32429888757886,5100.0,2.0
