children,old,urban,decile,cat1workers,cat2workers,cat3workers,cat4workers,cat5workers,cat6workers,cat7workers,totweight,weight,totY,Y,idh,nbpeople
0.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515787.72187042236,515787.72187042236,97.34582131041876,97.34582131041876,200.0,1.0
0.0,2.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,103787.291015625,34595.763671875,153.11882825056134,51.03960941685378,300.0,3.0
0.0,2.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36162.50733947754,12054.16911315918,196.7926832764454,65.59756109214847,400.0,3.0
0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,90969.64636230469,30323.215454101562,32.87777191360055,10.959257304533516,500.0,3.0
0.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537857.5518951416,268928.7759475708,103.57280736097746,51.78640368048873,700.0,2.0
2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,59140.48941040039,14785.122352600098,87.78768286570283,21.94692071642571,800.0,4.0
0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,49005.15685272217,49005.15685272217,98.06408958628157,98.06408958628157,900.0,1.0
0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,144920.0726852417,144920.0726852417,65.48192393664957,65.48192393664957,1000.0,1.0
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4930.211471557617,4930.211471557617,16.95989882109115,16.95989882109115,1200.0,1.0
0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4385.313293457031,4385.313293457031,16.765336192372924,16.765336192372924,1300.0,1.0
0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22585.547271728516,22585.547271728516,16.881508910359194,16.881508910359194,1500.0,1.0
1.0,0.0,3.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,25984.999877929688,8661.666625976562,253.07827460819158,84.35942486939719,1600.0,3.0
2.0,0.0,5.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,34563.83056640625,6912.76611328125,140.83509716520464,28.16701943304093,1800.0,5.0
0.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,212399.31171798706,212399.31171798706,52.55537313793016,52.55537313793016,2000.0,1.0
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142215.9887084961,142215.9887084961,3.4729398758564773,3.4729398758564773,2100.0,1.0
0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,16854.85205078125,4213.7130126953125,130.23562110717197,32.55890527679299,2200.0,4.0
0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11146.96728515625,5573.483642578125,138.00034365005038,69.00017182502519,2300.0,2.0
0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,79024.05562591553,79024.05562591553,38.52594085847308,38.52594085847308,2500.0,1.0
0.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,322315.25440216064,322315.25440216064,98.82586532227909,98.82586532227909,2800.0,1.0
0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,136448.08853530884,136448.08853530884,96.15433880767718,96.15433880767718,3000.0,1.0
0.0,0.0,2.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,50499.24914550781,25249.624572753906,107.28586071243701,53.64293035621851,3300.0,2.0
0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,108132.6575012207,108132.6575012207,6.347675141811272,6.347675141811272,3400.0,1.0
0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19452.74439239502,9726.37219619751,189.44413494733092,94.72206747366546,3500.0,2.0
0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38775.39663696289,38775.39663696289,32.30462765707265,32.30462765707265,3700.0,1.0
0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321293.6159210205,321293.6159210205,27.625809012947624,27.625809012947624,3800.0,1.0
0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5506.42822265625,1376.6070556640625,82.24350602334293,20.560876505835733,3900.0,4.0
0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79884.7502822876,79884.7502822876,32.52743612043325,32.52743612043325,4100.0,1.0
0.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,116773.19423675537,116773.19423675537,44.44225865506333,44.44225865506333,4200.0,1.0
2.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,27784.147094726562,6946.036773681641,113.62456816674094,28.406142041685236,4400.0,4.0
0.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,124420.34796142578,62210.17398071289,89.5246672113619,44.76233360568095,4500.0,2.0
0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10692.853530883789,10692.853530883789,53.871433105557045,53.871433105557045,4800.0,1.0
1.0,2.0,6.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,5307.659912109375,884.6099853515625,152.92937040855534,25.488228401425893,5000.0,6.0
0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,15024.515991210938,7512.257995605469,88.19265937673067,44.09632968836534,5100.0,2.0
0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324397.65576934814,324397.65576934814,44.57367061796256,44.57367061796256,5300.0,1.0
0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160058.92332458496,80029.46166229248,45.731589662677294,22.865794831338647,5400.0,2.0
0.0,1.0,2.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,99471.93780517578,49735.96890258789,202.0024077617588,101.0012038808794,5500.0,2.0
0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,54538.409606933594,27269.204803466797,44.41459273666566,22.20729636833283,5600.0,2.0
2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,483.53819274902344,161.1793975830078,70.12414018290387,23.374713394301292,5800.0,3.0
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11001.248413085938,5500.624206542969,15.031793151950453,7.515896575975226,5900.0,2.0
1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,21881.87109375,5470.4677734375,61.0518638985153,15.262965974628825,6000.0,4.0
2.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,171082.72143554688,42770.68035888672,88.66162793514505,22.165406983786262,6200.0,4.0
0.0,2.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537123.5283050537,268561.76415252686,200.8736766204505,100.43683831022526,6300.0,2.0
0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26954.751083374023,26954.751083374023,38.23277691804268,38.23277691804268,6400.0,1.0
2.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,35131.0009765625,8782.750244140625,133.44234060491448,33.36058515122862,6500.0,4.0
0.0,0.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,317923.72887802124,317923.72887802124,65.20458574750322,65.20458574750322,6700.0,1.0
0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,138407.92974853516,69203.96487426758,55.37798059665893,27.688990298329465,6800.0,2.0
0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50054.791748046875,25027.395874023438,66.89623206720478,33.44811603360239,6900.0,2.0
0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252203.6408843994,126101.8204421997,65.45501154573024,32.72750577286512,7100.0,2.0
0.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519020.93114471436,259510.46557235718,129.88691843107875,64.94345921553938,7400.0,2.0
0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111067.11137390137,111067.11137390137,96.7518042030825,96.7518042030825,7500.0,1.0
0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,37399.90362548828,18699.95181274414,55.93690519015253,27.968452595076265,7600.0,2.0
0.0,1.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,67453.33364868164,33726.66682434082,131.27851863852717,65.63925931926359,7700.0,2.0
0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,10691.384399414062,3563.7947998046875,202.72092217000332,67.57364072333444,7900.0,3.0
2.0,0.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,123811.44830322266,30952.862075805664,134.49149194119443,33.622872985298606,8000.0,4.0
0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205709.713432312,205709.713432312,32.87912083889335,32.87912083889335,8100.0,1.0
0.0,0.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,49804.237213134766,24902.118606567383,89.56031610591413,44.78015805295706,8200.0,2.0
0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,59109.639305114746,59109.639305114746,64.75277277434037,64.75277277434037,8300.0,1.0
2.0,2.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,28303.01220703125,4717.168701171875,108.31646272820628,18.05274378803438,8400.0,6.0
0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260415.13773727417,260415.13773727417,38.35419860993935,38.35419860993935,8500.0,1.0
2.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,13446.8515625,3361.712890625,103.36922951561434,25.842307378903584,8700.0,4.0
1.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18174.98797607422,9087.49398803711,77.33166725849622,38.66583362924811,8900.0,2.0
0.0,0.0,2.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,62754.53576660156,31377.26788330078,179.2082481568898,89.6041240784449,9000.0,2.0
0.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494482.6399536133,494482.6399536133,65.53286960024293,65.53286960024293,9200.0,1.0
