children,old,urban,decile,cat1workers,cat2workers,cat3workers,cat4workers,cat5workers,cat6workers,cat7workers,totweight,weight,totY,Y,idh,nbpeople
1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2790.908935546875,558.181787109375,52.22607416179642,10.445214832359284,10000.0,5.0
0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2297.7657470703125,1148.8828735351562,61.895933639299244,30.947966819649622,10006.0,2.0
0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4733.2440185546875,1183.3110046386719,114.17627548678266,28.544068871695664,10012.0,4.0
1.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,3349.0908203124995,558.1818033854166,191.7521952576789,31.958699209613147,10023.0,6.0
3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,21414.680114746094,4282.936022949219,78.94303973419528,15.788607946839058,10026.0,5.0
2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2887.232421875,721.80810546875,64.75930330149679,16.189825825374196,10029.0,4.0
1.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1255.9090576171875,313.9772644042969,55.371034609675036,13.842758652418759,10030.0,4.0
3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5625.801940917969,1125.1603881835938,52.48419749821504,10.49683949964301,10032.0,5.0
0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,8599.784423828125,2149.9461059570312,144.93842696428504,36.23460674107126,10035.0,4.0
3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3087.734130859375,441.10487583705356,85.47347517870638,12.21049645410091,10037.0,7.0
0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1221.0225830078125,244.2045166015625,81.60481931922288,16.320963863844575,10040.0,5.0
0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,8954.77523803711,2984.925079345703,83.05888181528819,27.68629393842939,10042.0,3.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1221.0225830078125,244.2045166015625,62.77861575430965,12.55572315086193,10044.0,5.0
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,12763.845031738281,2552.769006347656,55.9434306012256,11.188686120245121,10046.0,5.0
0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3938.619728088379,3938.619728088379,28.740862630883463,28.740862630883463,10047.0,1.0
0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,627.9545288085938,156.98863220214844,104.2944796315609,26.073619907890226,10048.0,4.0
1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9312.430450439453,3104.1434834798174,100.60013708778358,33.53337902926119,10049.0,3.0000000000000004
0.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2222.962371826172,1111.481185913086,112.01323847369576,56.00661923684788,10050.0,2.0
2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25113.419952392578,6278.3549880981445,95.0062504453861,23.751562611346525,10051.0,4.0
1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,941.9317626953124,156.9886271158854,176.76801791759627,29.461336319599376,10052.0,6.0
1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,941.9317626953124,156.9886271158854,93.2513691451056,15.5418948575176,10053.0,6.0
0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1672.8590087890625,836.4295043945312,48.329314370352826,24.164657185176413,10057.0,2.0
0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24736.674827575684,24736.674827575684,51.16618044994517,51.16618044994517,10060.0,1.0
