children,old,urban,decile,cat1workers,cat2workers,cat3workers,cat4workers,cat5workers,cat6workers,cat7workers,totweight,weight,totY,Y,idh,nbpeople
0.0,2.0,3.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10416.0,3472.0,63.22386025611189,21.074620085370633,1000136011.0,3.0
1.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,39765.0,7953.0,41.58190285005954,8.316380570011907,1000136021.0,5.0
0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,705458.0,352729.0,85.02333972087446,42.51166986043723,1000136031.0,2.0
0.0,1.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,92630.0,46315.0,41.954604064809914,20.977302032404957,1000136041.0,2.0
1.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,131524.0,32881.0,47.70987721174071,11.927469302935178,1000136061.0,4.0
0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,280020.0,70005.0,147.87919372382902,36.969798430957255,1000267011.0,4.0
0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,474143.0,474143.0,43.568042055856594,43.568042055856594,1000267031.0,1.0
0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,155718.0,77859.0,230.91216503095282,115.45608251547641,1000267041.0,2.0
1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,75153.0,25051.0,21.028956059403583,7.009652019801192,1000267061.0,3.0
1.0,1.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,26180.0,6545.0,85.44293915253138,21.360734788132845,1000272011.0,4.0
0.0,1.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,200824.0,100412.0,80.76497058471557,40.382485292357785,1000272021.0,2.0
0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100248.0,100248.0,9.872818138537772,9.872818138537772,1000272041.0,1.0
0.0,2.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225288.0,112644.0,81.19298191902618,40.59649095951309,1000272051.0,2.0
2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,369144.0,92286.0,27.745744960948535,6.936436240237134,1000455011.0,4.0
0.0,2.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,27948.0,6987.0,83.21998278888326,20.804995697220814,1000455021.0,4.0
0.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168166.0,84083.0,29.896038989795077,14.948019494897538,1000455031.0,2.0
1.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,11020.0,2204.0,59.847501142065084,11.969500228413018,1000455051.0,5.0
1.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,112012.0,28003.0,39.59903959744002,9.899759899360005,1000543011.0,4.0
0.0,1.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,51192.0,17064.0,46.20777804439741,15.402592681465801,1000543021.0,3.0
2.0,1.0,9.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1782.0,198.0,49.43428523087063,5.492698358985625,1000543031.0,9.0
0.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204607.0,204607.0,42.12463153623472,42.12463153623472,1000543051.0,1.0
1.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,185022.0,61674.0,45.787942602291444,15.262647534097146,1000543061.0,3.0
0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,102706.0,51353.0,29.54298895867705,14.771494479338525,1000589011.0,2.0
0.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157686.0,78843.0,19.77459580108218,9.88729790054109,1000589021.0,2.0
1.0,1.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,14776.0,3694.0,62.128470785149,15.53211769628725,1000589031.0,4.0
0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144607.0,144607.0,15.037131239297967,15.037131239297967,1000589061.0,1.0
4.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,48642.0,8107.0,35.058885970498395,5.843147661749733,1000628011.0,6.0
0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,58408.0,14602.0,60.79575275495703,15.198938188739257,1000628021.0,4.0
0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10459.0,10459.0,4.354622545114768,4.354622545114768,1000628031.0,1.0
0.0,0.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,12348.0,6174.0,30.267094184233084,15.133547092116542,1000628041.0,2.0
0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9074.0,9074.0,6.963424676626222,6.963424676626222,1000628061.0,1.0
0.0,2.0,3.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20526.0,6842.0,43.958656872178096,14.652885624059365,1000674011.0,3.0
0.0,1.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,119121.0,39707.0,115.01510429805337,38.338368099351136,1000674021.0,3.0
0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,221935.0,221935.0,20.967261676392955,20.967261676392955,1000674031.0,1.0
0.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179657.0,179657.0,20.616940963405668,20.616940963405668,1000674041.0,1.0
0.0,2.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,122772.0,40924.0,60.41788964263701,20.13929654754567,1000674051.0,3.0
0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,397870.0,198935.0,82.14576982728572,41.07288491364286,1000674061.0,2.0
2.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10360.0,2072.0,17.437677295927763,3.487535459185552,1000689011.0,5.0
2.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,192148.0,48037.0,33.37996269397752,8.34499067349438,1000689021.0,4.0
1.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1323.0,147.0,23.31359596075169,2.5903995511946323,1000689041.0,9.0
0.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128872.0,64436.0,16.417535771150902,8.208767885575451,1000689061.0,2.0
1.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,101202.0,33734.0,44.248612392208514,14.749537464069506,1000698011.0,3.0
0.0,1.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,136598.0,68299.0,41.63885038327167,20.819425191635833,1000698021.0,2.0
1.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,336138.0,112046.0,63.273354121750415,21.091118040583474,1000698031.0,3.0
0.0,2.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,12168.0,3042.0,59.67146624892179,14.917866562230447,1000698041.0,4.0
0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,233086.0,233086.0,36.803626020849904,36.803626020849904,1000698051.0,1.0
0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,55636.0,27818.0,30.484972989964486,15.242486494982243,1000698061.0,2.0
0.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,91882.0,45941.0,19.82472178035381,9.912360890176904,1000734011.0,2.0
0.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187364.0,93682.0,40.78789212415577,20.393946062077884,1000734021.0,2.0
1.0,1.0,6.0,8.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,942.0,157.0,84.82980534562323,14.138300890937204,1000734031.0,6.0
4.0,1.0,7.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1099.0,157.0,39.648858828426576,5.664122689775224,1000734041.0,7.0
0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,30304.0,7576.0,60.96801132868233,15.242002832170582,1000734051.0,4.0
0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,13840.0,2768.0,29.003550661636304,5.80071013232726,1000740011.0,5.0
3.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,31105.0,6221.0,102.07190259765838,20.414380519531676,1000740021.0,5.0
1.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,80781.0,26927.0,60.49762421132042,20.1658747371068,1000740031.0,3.0
1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6393.0,2131.0,13.955545956580362,4.651848652193455,1000740041.0,3.0
2.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,135235.0,27047.0,41.57784458345011,8.315568916690019,1000740051.0,5.0
1.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10857.0,3619.0,20.579393979650238,6.859797993216746,1000764011.0,3.0
2.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21735.0,4347.0,96.27593556666264,19.25518711333253,1000764021.0,5.0
0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,32496.0,10832.0,9.147551250869345,3.0491837502897816,1000764031.0,3.0
3.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,14189.0,2027.0,59.00063188290184,8.428661697557406,1000764041.0,7.0
1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,16496.0,4124.0,28.33122891032577,7.082807227581442,1000764051.0,4.0
0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,48134.0,24067.0,23.54164438825942,11.77082219412971,1000764061.0,2.0
0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,105274.0,52637.0,30.408338489414785,15.204169244707392,1000800021.0,2.0
