children,old,urban,decile,cat1workers,cat2workers,cat3workers,cat4workers,cat5workers,cat6workers,cat7workers,totweight,weight,totY,Y,idh,nbpeople
0.0,1.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8314.212890625,2078.55322265625,29.79650065350264,7.44912516337566,100001.0,4.0
2.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,10392.76611328125,2078.55322265625,46.99467716901257,9.398935433802514,100002.0,5.0
1.0,0.0,4.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,8314.212890625,2078.55322265625,23.27523573538256,5.81880893384564,100003.0,4.0
0.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4823.33056640625,4823.33056640625,8.742184400475258,8.742184400475258,100004.0,1.0
1.0,1.0,5.0,6.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,10392.76611328125,2078.55322265625,21.706865406168745,4.341373081233749,100005.0,5.0
0.0,1.0,5.0,10.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,10392.76611328125,2078.55322265625,52.7166495739263,10.543329914785259,100006.0,5.0
0.0,1.0,5.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,10392.76611328125,2078.55322265625,21.49568359815602,4.299136719631204,100007.0,5.0
0.0,1.0,4.0,10.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,8314.212890625,2078.55322265625,58.08151162925486,14.520377907313716,100008.0,4.0
1.0,0.0,7.0,6.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,14549.87255859375,2078.55322265625,32.792705961897916,4.684672280271132,100009.0,7.0
1.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,70755.25579833984,23585.08526611328,36.564344412385566,12.18811480412852,100010.0,3.0
1.0,2.0,5.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10392.76611328125,2078.55322265625,22.568122598532344,4.513624519706469,100012.0,5.0
0.0,1.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,26518.435546875,8839.478515625,20.197443233013832,6.732481077671277,100013.0,3.0
3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,79180.830078125,15836.166015625,14.615999365077311,2.923199873015463,100014.0,5.0
1.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,46584.103515625,11646.02587890625,40.11286674746013,10.028216686865033,100015.0,4.0
1.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,53036.87109375,8839.478515625,63.397572514968644,10.566262085828107,100016.0,6.0
3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,44197.392578125,8839.478515625,10.139725673919344,2.027945134783869,100017.0,5.0
3.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,44197.392578125,8839.478515625,26.290295000173295,5.258059000034659,100018.0,5.0
1.0,1.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,61876.349609375,8839.478515625,47.86874336304159,6.83839190900594,100019.0,7.0
1.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,53036.87109375,8839.478515625,18.197143529361416,3.0328572548935693,100020.0,6.0
5.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,70715.828125,8839.478515625,19.485900121762278,2.4357375152202847,100021.0,8.0
1.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,77327.1474609375,25775.7158203125,15.93453845507053,5.311512818356843,100022.0,3.0
3.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,61482.474365234375,12296.494873046875,19.87409174335685,3.9748183486713704,100023.0,5.0
5.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,61876.349609375,8839.478515625,58.86343692065082,8.409062417235832,100024.0,7.0
0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,25688.10302734375,5137.62060546875,23.391405310166483,4.678281062033297,100025.0,5.0
3.0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,35963.34423828125,5137.62060546875,31.681729115561197,4.5259613022230285,100026.0,7.0
1.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,66188.91119384766,22062.97039794922,23.515382956929333,7.838460985643112,100027.0,3.0
