children,old,urban,decile,cat1workers,cat2workers,cat3workers,cat4workers,cat5workers,cat6workers,cat7workers,totweight,weight,totY,Y,idh,nbpeople
0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19564.535163879395,9782.267581939697,42.540291910334204,21.270145955167102,100.0,2.0
0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67750.21285247803,33875.106426239014,31.55373106133754,15.77686553066877,300.0,2.0
0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13772.551197052002,6886.275598526001,16.83244286324772,8.41622143162386,400.0,2.0
2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,27794.33543395996,6948.58385848999,52.09701988796931,13.024254971992328,500.0,4.0
0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14553.184997558594,3638.2962493896484,162.2682702574404,40.5670675643601,600.0,4.0
0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,140500.74514770508,70250.37257385254,66.5614265054609,33.28071325273045,900.0,2.0
0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,45066.03713226318,45066.03713226318,42.92547260477268,42.92547260477268,1000.0,1.0
0.0,1.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,55537.48751068115,27768.743755340576,138.6901048079504,69.3450524039752,1100.0,2.0
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9406.20736503601,9406.20736503601,7.124126130291557,7.124126130291557,1200.0,1.0
0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18057.34009552002,18057.34009552002,24.526553789917525,24.526553789917525,1300.0,1.0
0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,49089.09533691406,24544.54766845703,31.501425721079418,15.750712860539709,1400.0,2.0
1.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6930.856094360352,3465.428047180176,77.74746234071687,38.87373117035843,1600.0,2.0
0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,42281.668701171875,10570.417175292969,259.76113689514546,64.94028422378636,1700.0,4.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1506.5170440673828,215.2167205810547,55.67013156823227,7.952875938318895,1800.0,7.0
0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22265.21660232544,22265.21660232544,12.999159834826312,12.999159834826312,1900.0,1.0
0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12221.975868225098,12221.975868225098,65.98808127963805,65.98808127963805,2000.0,1.0
2.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,44360.14926147461,11090.037315368652,134.8046445149926,33.70116112874815,2100.0,4.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,32165.07578277588,16082.53789138794,13.495458684054986,6.747729342027493,2200.0,2.0
0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19420.923706054688,19420.923706054688,28.156037894304852,28.156037894304852,2300.0,1.0
0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,38603.458152770996,19301.729076385498,65.8952414192202,32.9476207096101,2400.0,2.0
1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,85888.7876701355,28629.595890045166,56.005416820875915,18.668472273625305,2500.0,3.0
0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6990.52668762207,1747.6316719055176,86.29737159440015,21.574342898600037,2600.0,4.0
0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24683.613739013672,12341.806869506836,26.09559690670784,13.04779845335392,2700.0,2.0
1.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2442.7612686157227,488.55225372314453,96.97535858879344,19.395071717758686,2800.0,5.0
0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,117652.83123207092,39217.61041069031,124.86081795627537,41.620272652091785,2900.0,3.0
0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73169.16823577881,36584.584117889404,31.745428786122364,15.872714393061182,3000.0,2.0
0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28849.653396606445,14424.826698303223,48.694995984356005,24.347497992178003,3100.0,2.0
0.0,2.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134459.31299972534,67229.65649986267,142.63039018548406,71.31519509274203,3200.0,2.0
0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,47983.86032867432,11995.96508216858,29.101264355688098,7.2753160889220245,3300.0,4.0
1.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,54328.316833496094,13582.079208374023,85.38544437467901,21.346361093669753,3400.0,4.0
0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17234.02837753296,17234.02837753296,33.28372110584215,33.28372110584215,3500.0,1.0
0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9211.363983154297,1842.2727966308594,36.42657334493573,7.285314668987148,3600.0,5.0
0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9577.933052062988,4788.966526031494,81.31059656415522,40.65529828207761,3700.0,2.0
1.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,32706.98698425293,8176.746746063232,131.8868872190809,32.971721804770226,3800.0,4.0
0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,43847.6397228241,14615.879907608032,56.15044940894052,18.716816469646847,3900.0,3.0
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,29196.96523284912,14598.48261642456,25.54744578624647,12.773722893123235,4000.0,2.0
0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17720.389198303223,8860.194599151611,25.73918732937779,12.869593664688894,4100.0,2.0
0.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16843.081232070923,5614.360410690308,127.3995326178058,42.46651087260194,4200.0,3.0
