children,old,urban,decile,cat1workers,cat2workers,cat3workers,cat4workers,cat5workers,cat6workers,cat7workers,totweight,weight,totY,Y,idh,nbpeople
0.0,2.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4594.0,2297.0,61.64462815987149,30.822314079935744,1904100000.0,2.0
0.0,1.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7906.0,3953.0,35.13065887865212,17.56532943932606,1904500000.0,2.0
0.0,1.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,612.0,204.0,106.76436792552559,35.58812264184186,1904700000.0,3.0
0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13836.0,13836.0,17.959793746947323,17.959793746947323,1912700000.0,1.0
0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1386.0,1386.0,9.332907374854127,9.332907374854127,1913000000.0,1.0
1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3909.0,1303.0,16.362062136964877,5.454020712321626,1913100000.0,3.0
0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,19562.0,9781.0,35.32868852537663,17.664344262688314,1919800000.0,2.0
0.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1554.0,518.0,33.79229561092572,11.26409853697524,1920000000.0,3.0
1.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,528.0,264.0,68.95437528468386,34.47718764234193,1920200000.0,2.0
2.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3200.0,640.0,32.742189636799274,6.5484379273598545,1920300000.0,5.0
0.0,1.0,6.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,912.0,152.0,83.38340827893475,13.897234713155791,2006510000.0,6.0
0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1064.0,152.0,36.160193850971716,5.165741978710246,2006520000.0,7.0
0.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11319.0,11319.0,17.37579788045445,17.37579788045445,2006600000.0,1.0
1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,20775.0,6925.0,19.848062150257075,6.616020716752358,2006700000.0,3.0
1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,7840.0,1960.0,26.5384810608537,6.634620265213425,2006800000.0,4.0
1.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1650.0,330.0,39.81362541632109,7.962725083264218,2010703000.0,5.0
2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1270.0,254.0,17.070763640718887,3.414152728143778,2010704000.0,5.0
0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1724.0,862.0,11.105631000459372,5.552815500229686,2010705000.0,2.0
2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,16316.0,4079.0,11.641531017559762,2.9103827543899405,2010706000.0,4.0
2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2420.0,605.0,9.68690765492314,2.421726913730785,2010706010.0,4.0
0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2110.0,2110.0,6.719772346686549,6.719772346686549,2010707000.0,1.0
1.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,26670.0,8890.0,40.62381387728834,13.541271292429448,2010708000.0,3.0
1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6243.0,2081.0,23.63115335931163,7.8770511197705435,2016900000.0,3.0
0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6020.0,3010.0,15.730971621445974,7.865485810722987,2016900010.0,2.0
0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,18302.0,9151.0,35.870634270954696,17.935317135477348,2016930001.0,2.0
3.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2508.0,418.0,16.361795340390692,2.7269658900651152,2017000000.0,6.0
