children,old,urban,decile,cat1workers,cat2workers,cat3workers,cat4workers,cat5workers,cat6workers,cat7workers,totweight,weight,totY,Y,idh,nbpeople
5.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2949.5,368.6875,47.39338155474573,5.924172694343216,1.0,8.0
2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10682.4365234375,2136.4873046875,16.946597721137277,3.3893195442274546,2.0,5.0
3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,26163.185958862305,5232.637191772461,26.776575208482516,5.355315041696504,3.0,5.0
1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1843.4375,368.6875,32.835184784382726,6.567036956876545,4.0,5.0
7.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3318.1875,368.6875,14.825099754985303,1.6472333061094782,5.0,9.0
4.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2949.5,368.6875,26.32433847342202,3.2905423091777526,6.0,8.0
0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1294.9528198242188,647.4764099121094,24.449451671797213,12.224725835898607,7.0,2.0
2.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1474.75,368.6875,33.6609999771926,8.41524999429815,8.0,4.0
0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2676.5891723632812,1338.2945861816406,20.95513538458955,10.477567692294775,9.0,2.0
4.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25673.79656982422,4278.966094970703,32.667455447976124,5.44457590799602,10.0,6.0
2.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,3318.1875,368.6875,59.228732695096745,6.580970299455194,11.0,9.0
4.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2579.781005859375,429.9635009765625,62.070642428587455,10.345107071431244,12.0,6.0
5.0,1.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2580.8125,368.6875,57.422061337613776,8.203151619659112,13.0,7.0
2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1474.75,368.6875,63.55550091473748,15.88887522868437,14.0,4.0
1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8258.585678100586,2752.8618927001953,4.797370611277684,1.5991235370925614,15.0,3.0
2.0,0.0,0.0,10.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2580.8125,368.6875,50.150250943794504,7.164321563399215,16.0,7.0
1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5986.147216796875,748.2684020996094,26.045219513203726,3.2556524391504658,17.0,8.0
2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11927.984832763672,2981.996208190918,36.11021689649561,9.027554224123902,18.0,4.0
6.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6636.375,368.6875,84.39520930225484,4.688622739014157,19.0,18.0
3.0,0.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1843.4375,368.6875,33.679733421845356,6.735946684369071,20.0,5.0
4.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,4055.5625,368.6875,81.23214742192278,7.384740674720254,21.0,11.0
0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1106.0625,368.6875,33.49373657103847,11.164578857012822,22.0,3.0
3.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2212.125,368.6875,29.86171660206569,4.976952767010948,23.0,6.0
2.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1474.75,368.6875,72.77953516917707,18.194883792294267,24.0,4.0
4.0,0.0,12.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1658.0004272460938,138.1667022705078,55.60697236302483,4.633914363585402,25.0,12.0
5.0,0.0,9.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2487.0006408691406,276.3334045410156,56.72060896160552,6.3022898846228355,26.0,9.0
5.0,0.0,8.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2145.2080078125,268.1510009765625,58.67707295544927,7.334634119431159,27.0,8.0
6.0,0.0,12.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,1658.0004272460938,138.1667022705078,75.14739348720298,6.262282790600247,28.0,12.0
3.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1034.375,206.875,48.91468871694508,9.782937743389017,29.0,5.0
0.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,958.4642944335938,319.48809814453125,53.23435527857237,17.74478509285746,30.0,3.0
6.0,0.0,8.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1105.3336181640625,138.1667022705078,36.023153975853816,4.502894246981727,31.0,8.0
3.0,0.0,5.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,690.8335113525391,138.1667022705078,21.072974488929333,4.214594897785867,32.0,5.0
