children,old,urban,decile,cat1workers,cat2workers,cat3workers,cat4workers,cat5workers,cat6workers,cat7workers,totweight,weight,totY,Y,idh,nbpeople
0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,279684.24279785156,139842.12139892578,215.16630604284924,107.58315302142462,100.0,2.0
0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,68859.6446685791,22953.214889526367,243.64031770481512,81.21343923493838,200.0,3.0
0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26000.85272216797,26000.85272216797,50.5848846751174,50.5848846751174,700.0,1.0
0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,33464.802154541016,11154.934051513672,104.88641421192806,34.96213807064268,1000.0,3.0
2.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,105196.95629882812,26299.23907470703,232.7007823605501,58.17519559013753,1400.0,4.0
1.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10301.15576171875,2575.2889404296875,270.76875977729105,67.69218994432276,1500.0,4.0
0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,252327.40057373047,126163.70028686523,163.52864683025697,81.76432341512849,1600.0,2.0
0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,39100.937255859375,13033.645751953125,155.3779719607048,51.792657320234945,1800.0,3.0
0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14616.313720703125,14616.313720703125,68.05402320862265,68.05402320862265,1900.0,1.0
1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16681.393615722656,5560.464538574219,90.82113432754538,30.27371144251513,2100.0,3.0
0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40632.45617675781,40632.45617675781,83.12607135811103,83.12607135811103,2200.0,1.0
0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155622.7085571289,155622.7085571289,45.18873890261684,45.18873890261684,2700.0,1.0
0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,57063.140625,28531.5703125,137.49618969943182,68.74809484971591,2800.0,2.0
0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46917.808654785156,46917.808654785156,35.84711444467502,35.84711444467502,2900.0,1.0
