children,old,urban,decile,cat1workers,cat2workers,cat3workers,cat4workers,cat5workers,cat6workers,cat7workers,totweight,weight,totY,Y,idh,nbpeople
3.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1805.2218017578125,451.3054504394531,5.410093344861,1.35252333621525,101.0,4.0
2.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3972.2774658203125,993.0693664550781,12.441416041155442,3.1103540102888605,102.0,4.0
4.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8518.529479980469,1419.7549133300781,20.675279043720195,3.4458798406200324,103.0,6.0
4.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8932.659118652344,1488.7765197753906,25.639923363185712,4.273320560530952,105.0,6.0
0.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2530.4540405273438,2530.4540405273438,10.212335033504367,10.212335033504367,106.0,1.0
5.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3610.443603515625,451.3054504394531,10.553393966039454,1.3191742457549318,107.0,8.0
2.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2256.5274047851562,451.30548095703125,18.40277878499919,3.6805557569998375,108.0,5.0
1.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6430.285995483398,2143.428665161133,19.72120459410377,6.573734864701258,110.0,3.0
1.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1805.2218017578125,451.3054504394531,57.18482558260709,14.296206395651772,111.0,4.0
0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10682.231994628906,5341.115997314453,16.538986431796594,8.269493215898297,114.0,2.0
3.0,0.0,6.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,7272.729675292969,1212.1216125488281,21.098260373502335,3.5163767289170558,115.0,6.0
2.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5064.358215332031,1012.8716430664062,10.89316073705056,2.178632147410112,116.0,5.0
