children,old,urban,decile,cat1workers,cat2workers,cat3workers,cat4workers,cat5workers,cat6workers,cat7workers,totweight,weight,totY,Y,idh,nbpeople
2.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,16.18399977684021,3.236799955368042,21.863327573335734,4.372665514667147,110011.0,5.0
2.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.262800216674805,6.315700054168701,29.12592598627812,7.28148149656953,110021.0,4.0
1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.262800216674805,6.315700054168701,15.162033098685619,3.7905082746714047,110031.0,4.0
4.0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,19.420799732208252,3.236799955368042,22.775791465425122,3.7959652442375202,110051.0,6.0
3.0,0.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,22.657599687576294,3.236799955368042,27.321673096536458,3.9030961566480658,110061.0,7.0
4.0,0.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,25.894399642944336,3.236799955368042,32.25668032091989,4.032085040114986,110071.0,8.0
0.0,0.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,12.947199821472168,3.236799955368042,36.63569398169084,9.15892349542271,120081.0,4.0
3.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,25.894399642944336,3.236799955368042,34.45361233276168,4.30670154159521,120091.0,8.0
3.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.420799732208252,3.236799955368042,9.606735191691795,1.6011225319486326,120101.0,6.0
0.0,0.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.473599910736084,3.236799955368042,19.891459265622135,9.945729632811068,120111.0,2.0
2.0,2.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,22.657599687576294,3.236799955368042,29.95762713002623,4.279661018575175,120121.0,7.0
3.0,0.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,19.420799732208252,3.236799955368042,31.47302274935981,5.245503791559968,120131.0,6.0
0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.947199821472168,3.236799955368042,56.79159838512621,14.197899596281552,120151.0,4.0
2.0,0.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,19.420799732208252,3.236799955368042,28.472792030572585,4.7454653384287635,120161.0,6.0
3.0,1.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.18399977684021,3.236799955368042,42.17386708389937,8.434773416779873,120171.0,5.0
1.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,38.841599464416504,6.473599910736084,46.06847907941375,7.678079846568959,120181.0,6.0
3.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,29.131199598312378,3.236799955368042,44.074573676882395,4.897174852986932,120191.0,9.0
2.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,22.657599687576294,3.236799955368042,45.71121974659266,6.530174249513237,120201.0,7.0
0.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.236799955368042,6.236799955368042,19.320052747187248,19.320052747187248,130211.0,1.0
0.0,0.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.170799970626831,13.170799970626831,12.26352174852871,12.26352174852871,130221.0,1.0
4.0,1.0,8.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,25.894399642944336,3.236799955368042,44.68769281728261,5.585961602160326,130231.0,8.0
1.0,0.0,4.0,11.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,12.947199821472168,3.236799955368042,291.8543817940286,72.96359544850715,130241.0,4.0
0.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.473599910736084,3.236799955368042,19.237252286936346,9.618626143468173,130251.0,2.0
0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.18399977684021,3.236799955368042,31.51461041458918,6.302922082917836,130261.0,5.0
2.0,1.0,9.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,29.131199598312378,3.236799955368042,49.87098191104513,5.541220212338348,130271.0,9.0
2.0,0.0,5.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,16.18399977684021,3.236799955368042,45.99799889477055,9.19959977895411,130281.0,5.0
0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.60699987411499,6.303499937057495,38.58684067949034,19.29342033974517,130291.0,2.0
0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.523600101470947,13.523600101470947,21.246395246302963,21.246395246302963,130301.0,1.0
4.0,0.0,8.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,25.894399642944336,3.236799955368042,82.68122630417697,10.335153288022122,130311.0,8.0
2.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,16.18399977684021,3.236799955368042,26.520336153025802,5.304067230605161,130321.0,5.0
3.0,0.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,22.657599687576294,3.236799955368042,36.40656459807603,5.200937799725147,140331.0,7.0
0.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.710399866104126,3.236799955368042,20.15820693191383,6.7194023106379435,140361.0,3.0
0.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.473599910736084,6.236799955368042,14.526815531491735,7.2634077657458676,140371.0,2.0
1.0,1.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.947199821472168,3.236799955368042,40.37831330380505,10.094578325951263,140381.0,4.0
0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.840700149536133,9.840700149536133,9.533504430334956,9.533504430334956,140401.0,1.0
1.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.710399866104126,3.236799955368042,9.820875498953159,3.2736251663177196,140411.0,3.0
4.0,0.0,8.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,24.631200790405273,3.078900098800659,92.74677798284185,11.593347247855231,210611.0,8.0
1.0,1.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12.315600395202637,3.078900098800659,23.837565473464057,5.959391368366014,210641.0,4.0
3.0,1.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18.473400592803955,3.078900098800659,28.796977378893864,4.799496229815643,210671.0,6.0
5.0,0.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,21.552300691604614,3.078900098800659,40.66087888791892,5.808696983988416,210701.0,7.0
2.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.236700296401978,3.078900098800659,15.895942986241275,5.298647662080425,210731.0,3.0
1.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.315600395202637,3.078900098800659,25.104656582175103,6.276164145543776,210761.0,4.0
3.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.394500494003296,3.078900098800659,11.632382327835236,2.326476465567047,210791.0,5.0
2.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.315600395202637,3.078900098800659,19.04438787015634,4.761096967539085,210821.0,4.0
