children,old,urban,decile,cat1workers,cat2workers,cat3workers,cat4workers,cat5workers,cat6workers,cat7workers,totweight,weight,totY,Y,idh,nbpeople
0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4559.0,4559.0,34.48357993200674,34.48357993200674,2018000001.0,1.0
4.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4164.0,694.0,36.779100432385164,6.129850072064195,2018000002.0,6.0
0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3888.0,972.0,76.6240773552505,19.156019338812627,2018000003.0,4.0
2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,23248.0,5812.0,39.288784348828365,9.822196087207091,2018000004.0,4.0
0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4326.0,1442.0,80.81944238775661,26.939814129252206,2018000006.0,3.0
0.0,2.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27398.0,13699.0,150.8233166204521,75.41165831022604,2018000007.0,2.0
0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,9594.0,3198.0,216.08694722504893,72.02898240834968,2018000008.0,3.0
0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1152.0,576.0,66.5415897634869,33.27079488174345,2018000009.0,2.0
2.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7212.0,1803.0,91.5695532452661,22.892388311316527,2018000011.0,4.0
0.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22150.0,22150.0,44.4426071755262,44.4426071755262,2018000012.0,1.0
2.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1320.0,264.0,114.47309019008914,22.894618038017825,2018000013.0,5.0
0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,704.0,352.0,20.229185017494597,10.114592508747299,2018000014.0,2.0
0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1897.0,1897.0,16.160285975433343,16.160285975433343,2018000015.0,1.0
0.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1115.0,1115.0,34.23757905420567,34.23757905420567,2018000017.0,1.0
0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3704.0,3704.0,16.090591824784813,16.090591824784813,2018000020.0,1.0
1.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,6996.0,1749.0,76.24986066321433,19.062465165803584,2018000021.0,4.0
0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4234.0,2117.0,55.53135966847597,27.765679834237986,2018000022.0,2.0
0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,165.0,33.0,103.24565723226642,20.649131446453286,2018000023.0,5.0
0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3888.0,1296.0,83.17352885198999,27.724509617329993,2018000025.0,3.0
0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3318.0,3318.0,34.26553889032614,34.26553889032614,2018000026.0,1.0
1.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9618.0,3206.0,83.14370548533202,27.714568495110687,2018000027.0,3.0
0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15135.0,15135.0,27.698409762784163,27.698409762784163,2018000028.0,1.0
0.0,0.0,2.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1492.0,746.0,89.18480700544526,44.59240350272263,2018000029.0,2.0
0.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31053.0,31053.0,74.46484207689136,74.46484207689136,2018000031.0,1.0
0.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2372.0,593.0,173.3422636278442,43.33556590696105,2018000033.0,4.0
0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11796.0,11796.0,23.056362806072922,23.056362806072922,2018000034.0,1.0
0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10162.0,5081.0,31.75698188297926,15.87849094148963,2018000035.0,2.0
3.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,819.0,117.0,68.5574388108252,9.793919830117886,2018000039.0,7.0
1.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,716.0,179.0,62.96371346710059,15.740928366775147,2018000041.0,4.0
0.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1060.0,265.0,77.16506056609319,19.291265141523297,2018000042.0,4.0
1.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2696.0,674.0,91.88145186617821,22.970362966544553,2018000043.0,4.0
0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2614.0,1307.0,131.42041757888188,65.71020878944094,2018000044.0,2.0
0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,19564.0,9782.0,90.78580869561348,45.39290434780674,2018000046.0,2.0
0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8690.0,4345.0,88.58456321811646,44.29228160905823,2018000047.0,2.0
4.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,925.0,185.0,27.88638114645282,5.577276229290564,2018000048.0,5.0
0.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,100.0,25.0,874.1045766641487,218.52614416603717,2018000050.0,4.0
0.0,0.0,2.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3076.0,1538.0,56.0530187924111,28.02650939620555,2018000051.0,2.0
2.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12296.0,3074.0,51.4059276226866,12.85148190567165,2018000052.0,4.0
2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5428.0,1357.0,23.403108708800808,5.850777177200202,2018000053.0,4.0
0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8168.0,4084.0,68.78637814964189,34.393189074820945,2018000055.0,2.0
2.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10712.0,2678.0,111.30664160705804,27.82666040176451,2018000057.0,4.0
0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9100.0,4550.0,143.47107431082821,71.73553715541411,2018000058.0,2.0
0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3714.0,1857.0,68.22815030355578,34.11407515177789,2018000060.0,2.0
0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18208.0,18208.0,34.07399877232189,34.07399877232189,2018000061.0,1.0
0.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22346.0,11173.0,45.68937435510213,22.844687177551066,2018000062.0,2.0
0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6192.0,6192.0,27.765493730115903,27.765493730115903,2018000064.0,1.0
1.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14025.0,4675.0,208.05808387753257,69.35269462584421,2018000066.0,3.0
2.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1392.0,464.0,57.53146431298538,19.177154770995124,2018000068.0,3.0
0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7468.0,7468.0,19.27651867051801,19.27651867051801,2018000069.0,1.0
0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20450.0,20450.0,75.56418182550655,75.56418182550655,2018000073.0,1.0
0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3604.0,1802.0,31.982890899570243,15.991445449785122,2018000074.0,2.0
0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9570.0,9570.0,68.03272606257107,68.03272606257107,2018000075.0,1.0
0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6772.0,3386.0,32.067558008852046,16.033779004426023,2018000076.0,2.0
0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2129.0,2129.0,28.050181082115838,28.050181082115838,2018000077.0,1.0
1.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2274.0,758.0,216.10943546458503,72.036478488195,2018000078.0,3.0
2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,215.0,43.0,29.830950269688863,5.966190053937773,2018000079.0,5.0
0.0,0.0,2.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1904.0,952.0,69.23416411184742,34.61708205592371,2018000080.0,2.0
1.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2500.0,625.0,92.34240379943967,23.085600949859916,2018000083.0,4.0
0.0,1.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6826.0,3413.0,149.5746284201744,74.7873142100872,2018000084.0,2.0
