children,old,decile,cat1workers,cat2workers,cat3workers,cat4workers,cat5workers,cat6workers,cat7workers,totweight,weight,totY,Y,idh,nbpeople
1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,472750.2616373343,157583.42054577774,351.91709363618645,117.3056978787288,1.0,3.0000000000000058
1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,64336.458926511434,32168.229463255717,251.55388808831933,125.77694404415968,848.0,2.0
1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,51620.50915837258,12905.127289593145,475.3343919323337,118.83359798308342,4505.0,4.0
1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,34060.007531220814,6812.001506244162,603.3151030540466,120.66302061080931,350.0,5.0
1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1540.4476789932269,220.0639541418896,808.7104721069336,115.53006744384766,50008.0,6.999999999999999
1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1320.2406264957565,220.0401044159594,795.7711486816406,132.62852478027344,52386.0,6.0
1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5996.635193900944,1499.158798475236,488.5346374511719,122.13365936279295,20563.0,4.0
1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8083.596626492097,2694.5322088306993,389.5411224365235,129.8470408121745,10139.0,3.0
1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1168.097701050375,233.619540210075,549.6812438964844,109.93624877929688,15652.0,5.0
1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,13542.726686592827,3385.6816716482067,520.5705947875977,130.1426486968994,2817.0,4.0
1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,15410.481687049652,5136.8272290165505,373.7917671203613,124.59725570678712,2419.0,3.0
1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,16960.938743534214,3392.187748706843,634.9259452819823,126.98518905639648,2588.0,4.999999999999999
1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,1959.841706731037,217.76018963678192,994.7138214111328,110.52375793457031,124159.0,9.0
1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2067.9432979716335,516.9858244929084,537.5901489257811,134.39753723144528,31733.0,4.0
1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7597.139351467354,2532.379783822451,386.56506729125977,128.85502243041992,19867.0,3.0
1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,11456.766484722488,2864.191621180622,496.3572692871094,124.08931732177734,16392.0,4.0
1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10624.984602861892,3541.661534287297,353.8890686035156,117.96302286783856,16069.0,3.0
1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,5125.816819170645,1025.163363834129,582.1083450317383,116.42166900634766,32828.0,5.0
1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,3559.3448472018163,508.47783531454513,792.5362701416016,113.21946716308594,48678.0,7.000000000000001
1.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1171.1005081941985,234.2201016388396,641.307373046875,128.261474609375,14713.0,5.0
