children,old,decile,cat1workers,cat2workers,cat3workers,cat4workers,cat5workers,cat6workers,cat7workers,totweight,weight,totY,Y,idh,nbpeople
2.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3717.503875732422,929.3759689331056,554.4033508300781,138.6008377075195,131.0,4.0
2.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1633.7074661254885,326.7414932250977,664.564094543457,132.9128189086914,225310.0,5.0
2.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1978.462829589844,329.7438049316406,728.4317779541016,121.4052963256836,7131.0,6.0
2.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7213.906717300415,2404.635572433472,411.6390232086181,137.21300773620607,119315.0,3.0
2.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,14068.401527404785,3517.1003818511963,537.3350747915415,134.33376869788538,12035.0,4.0
2.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4931.9297790527335,986.3859558105468,644.5986652374268,128.91973304748535,159319.0,5.0
2.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,7968.473052978516,1328.078842163086,853.9974517822266,142.3329086303711,1135.0,6.0
2.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,6768.398651123047,966.914093017578,915.7486852010093,130.82124074300128,62434.0,7.0
2.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2549.8603515625,318.7325439453125,1179.782470703125,147.47280883789062,60312.0,8.0
2.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1538.4556884765625,384.6139221191406,640.5558471679688,160.1389617919922,424310.0,4.0
2.0,0.0,9.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,6865.24658203125,980.74951171875,820.7752075195314,117.25360107421876,9434.0,7.0
2.0,0.0,9.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,1441.7911376953127,180.2238922119141,974.7973022460938,121.84966278076172,34131.0,8.0
2.0,0.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1218.0194702148438,304.50486755371094,557.9290161132811,139.48225402832028,57938.0,4.0
2.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2301.062683105469,575.2656707763673,511.6083068847656,127.9020767211914,37313.0,4.0
2.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2777.4887084960938,555.4977416992189,666.6964530944823,133.33929061889648,108312.0,5.0
2.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,849.9743041992188,141.66238403320312,955.036102294922,159.1726837158203,47937.0,6.0
2.0,0.0,9.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,789.1209411621094,131.52015686035156,723.6450805664062,120.60751342773438,225319.0,6.0
2.0,0.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1352.512664794922,270.50253295898443,707.3835754394531,141.47671508789062,519317.0,5.0
2.0,0.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2382.004425048828,340.2863464355469,989.971710205078,141.42453002929688,56436.0,7.0
2.0,0.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,1036.2223205566406,86.35186004638672,1435.6140747070312,119.63450622558594,251320.0,12.0
2.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2703.9044342041016,675.9761085510254,542.1028564453125,135.52571411132809,12316.0,4.0
2.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1985.350227355957,397.0700454711914,726.2642517089844,145.25285034179691,250315.0,5.0
2.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,214.33124542236328,35.72187423706055,724.3160247802734,120.7193374633789,392310.0,6.0
2.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1211.260513305664,173.03721618652344,1073.3280639648438,153.33258056640625,373314.0,7.0
2.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,2991.37548828125,373.92193603515625,955.8413696289062,119.48017120361328,1731.0,8.0
2.0,0.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2403.837127685547,480.7674255371094,602.5006866455077,120.50013732910156,424314.0,5.0
2.0,0.0,9.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,4105.0546875,456.1171875,1292.069091796875,143.563232421875,3138.0,9.0
2.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,182.10298919677732,60.70099639892578,478.23829650878906,159.4127655029297,30836.0,3.0
2.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5474.869842529297,1368.7174606323242,551.4966125488281,137.87415313720706,2132.0,4.0
2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1811.834421157837,603.9448070526122,410.29988861083984,136.76662953694662,2139.0,3.0
2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3421.5665588378906,855.3916397094728,547.2830149332682,136.82075373331705,16634.0,4.0
2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3460.1593017578125,692.0318603515625,757.5249099731445,151.5049819946289,67319.0,5.0
2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1560.9630126953127,195.1203765869141,997.8536987304688,124.7317123413086,239318.0,8.0
2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5381.347412109375,896.8912353515625,789.5939788818359,131.598996480306,40434.0,6.0
2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9117.407470703123,828.855224609375,1365.1553726196291,124.10503387451172,7031.0,11.0
2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,72.10223007202148,24.034076690673828,395.0760498046875,131.6920166015625,25738.0,3.0
2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2387.1429138183594,596.7857284545897,514.0980682373047,128.52451705932614,20933.0,4.0
2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,835.7456207275391,167.1491241455078,765.0464630126953,153.00929260253906,9832.0,5.0
2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1938.8164978027341,276.97378540039057,950.723602294922,135.81765747070312,62333.0,7.000000000000001
2.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,660.0030670166017,220.0010223388672,442.3803634643554,147.46012115478516,123316.0,3.0
2.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,765.4151000976564,191.3537750244141,591.4882202148438,147.87205505371094,428310.0,4.0
2.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10192.369979858398,2548.0924949646,562.3744602203368,140.59361505508423,118318.0,4.0
2.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4009.682903289795,801.936580657959,705.7984771728516,141.15969543457032,375319.0,5.0
2.0,0.0,9.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,934.8123779296876,155.80206298828125,952.2445678710938,158.70742797851562,295317.0,6.0
2.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1576.1943912506104,525.3981304168701,391.7693595886231,130.58978652954102,20835.0,3.0
2.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10393.075775146484,2598.268943786621,517.0501534598214,129.26253836495536,122319.0,4.0
2.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1130.7651138305666,226.15302276611328,776.3206100463867,155.26412200927734,11839.0,5.0
2.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,4375.761474609375,729.2935791015625,828.4384460449219,138.07307434082028,56234.0,6.0
2.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,505.78295898437517,63.22286987304688,1093.2216796875,136.6527099609375,538316.0,8.0
2.0,0.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1004.3671417236328,200.87342834472656,585.477294921875,117.095458984375,539317.0,5.0
