children,old,decile,cat1workers,cat2workers,cat3workers,cat4workers,cat5workers,cat6workers,cat7workers,totweight,weight,totY,Y,idh,nbpeople
1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9470.26643371582,3156.755477905273,444.6674625172335,148.22248750574448,1.0,3.0
1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3835.661178588867,1917.8305892944336,318.4489532470704,159.22447662353517,243.0,2.0
1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,10061.571426391602,2515.3928565979004,605.3927883572047,151.34819708930118,3524.0,4.0
1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4400.894527435303,880.1789054870605,765.5851236979165,153.11702473958334,1220.0,5.0
1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1211.8102722167966,173.11575317382812,990.2153472900392,141.45933532714844,13421.0,7.0
1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,972.994010925293,324.3313369750977,459.0075225830078,153.00250752766928,2136.0,3.0
1.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,9752.882995605467,2438.2207489013667,637.9334803989956,159.4833700997489,9461.0,4.0
1.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2390.2489013671875,796.7496337890625,509.78736877441406,169.9291229248047,4531.0,3.0
1.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2351.662902832031,470.3325805664063,708.642463684082,141.7284927368164,13928.0,5.0
1.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,294.0882110595703,49.01470184326172,879.2610168457031,146.5435028076172,2910.0,6.0
1.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,400.4605407714844,66.74342346191406,1024.7578125,170.79296875,7662.0,6.0
1.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,715.4060668945314,102.20086669921876,1170.2545013427734,167.17921447753906,17439.0,7.0
1.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,638.2340087890625,159.55850219726562,688.5968017578125,172.14920043945312,18409.0,4.0
1.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,300.34540557861334,50.05756759643555,950.7932739257812,158.46554565429688,6265.0,6.0
1.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,671.6057052612305,95.94367218017578,1024.7578735351562,146.39398193359375,5603.0,7.0
1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1555.9561157226562,388.98902893066406,639.8051147460938,159.95127868652344,1020.0,4.0
1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,650.7484016418458,216.91613388061523,475.02220153808594,158.34073384602866,2634.0,3.0
1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1694.6572875976562,338.93145751953125,761.6906356811522,152.33812713623047,12476.0,5.0
1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,944.8365783691406,157.47276306152344,875.0740356445312,145.84567260742188,13014.0,6.0
1.0,0.0,5.0,1.0,0.0,4.0,1.0,0.0,0.0,2.0,1473.5696868896484,163.72996520996094,1483.1315002441406,164.79238891601562,14149.0,9.0
1.0,0.0,5.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1138.8097229003904,162.68710327148438,1189.1537322998047,169.8791046142578,18103.0,7.0
1.0,0.0,5.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,1098.1379470825198,122.01532745361328,1324.2245635986328,147.1360626220703,12346.0,9.0
1.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,3133.8123321533203,626.7624664306642,808.5276031494141,161.7055206298828,2049.0,5.0
1.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1447.4980773925781,361.87451934814453,667.8196818033854,166.95492045084634,4970.0,4.0
1.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,591.3050155639647,84.4721450805664,1174.4416198730466,167.77737426757812,7170.0,7.0
