children,old,decile,cat1workers,cat2workers,cat3workers,cat4workers,cat5workers,cat6workers,cat7workers,totweight,weight,totY,Y,idh,nbpeople
2.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,629.4519195556642,104.90865325927734,1147.1461486816404,191.19102478027344,101310101.0,6.0
2.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,6738.64453125,842.33056640625,1765.6221923828127,220.7027740478516,1403101104.0,8.0
2.0,0.0,8.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,5259.322998046875,876.5538330078125,1111.2716674804685,185.2119445800781,130394603.0,6.0
2.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,52505.50085449219,13126.375213623047,816.3053588867188,204.0763397216797,103320408.0,4.0
2.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,30089.775512695312,5014.962585449219,1212.800033569336,202.13333892822263,111343303.0,6.0
2.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3011.280395507813,1003.7601318359376,638.8474273681642,212.9491424560547,129362209.0,3.0
2.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,12003.450927734375,2400.690185546875,970.2839279174804,194.0567855834961,1243121503.0,5.0
2.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,7362.61376953125,920.3267211914062,1716.9755859375,214.6219482421875,1393101904.0,8.0
2.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8073.213989257812,1153.3162841796875,1426.8738861083987,203.8391265869141,1663161902.0,7.0
2.0,0.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,8498.697509765625,1699.739501953125,1039.6105194091801,207.92210388183602,230390108.0,5.0
2.0,0.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,10963.868774414062,1218.2076416015625,1654.0342712402344,183.78158569335938,112344010.0,9.0
2.0,0.0,8.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,14445.591552734375,1313.235595703125,2044.6909637451172,185.8809967041016,130395212.0,11.0
2.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,8081.987548828125,1346.9979248046875,1101.9337463378906,183.65562438964844,1533142110.0,6.0
2.0,0.0,8.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,6762.77001953125,845.3462524414062,1800.3294677734375,225.0411834716797,1443132210.0,8.0
2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9865.06866455078,1973.013732910156,951.8292236328124,190.3658447265625,1383102202.0,5.0
2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6845.015380859375,1711.2538452148438,783.7764587402344,195.9441146850586,121373308.0,4.0
2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13998.177795410156,1999.7396850585935,1530.3238372802734,218.61769104003903,118374110.0,7.0
2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4235.092895507813,705.8488159179688,1346.8670654296875,224.47784423828125,107330401.0,6.0
2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13161.466064453125,1316.1466064453125,1951.6012573242188,195.16012573242188,163382201.0,10.0
2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8418.645507812498,1052.3306884765623,1572.2216796875,196.5277099609375,1483132802.0,8.0
2.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,30408.88732910156,7602.221832275391,794.685791015625,198.67144775390625,101310405.0,4.0
2.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,28771.6552734375,4795.27587890625,1244.810302734375,207.4683837890625,1263112704.0,6.0
2.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,10818.019409179688,2163.603881835937,1063.1412887573242,212.62825775146484,1263112902.0,5.0
2.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5440.263061523438,1088.0526123046877,1089.4470977783203,217.8894195556641,111343201.0,5.0
2.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6988.6708984375,1747.167724609375,815.8740844726562,203.9685211181641,130394610.0,4.0
2.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,9407.7841796875,1175.9730224609375,1608.0528564453127,201.0066070556641,1413103511.0,8.0
2.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6358.1219482421875,1271.6243896484375,1097.331085205078,219.4662170410156,2253110902.0,5.0
2.0,0.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,9090.864868164062,909.0864868164062,2005.2696228027344,200.52696228027344,131390909.0,10.0
2.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,10626.11328125,2125.22265625,1030.1408004760742,206.02816009521484,160382810.0,5.0
2.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7018.279296875,1754.56982421875,842.5101623535156,210.6275405883789,221372404.0,4.0
2.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2116.4498901367188,423.28997802734375,984.7526550292968,196.95053100585938,106330702.0,5.0
2.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4140.784667968751,1035.1961669921877,800.9758911132812,200.2439727783203,2683161203.0,4.0
2.0,0.0,8.0,0.0,0.0,1.0,0.0,2.0,0.0,6.0,24532.17529296875,2230.19775390625,2194.265686035156,199.47869873046875,237390202.0,11.0
2.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,8503.083801269531,1700.6167602539062,1029.755401611328,205.9510803222656,219372311.0,5.0
2.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,7234.3111572265625,1033.4730224609377,1586.0962219238281,226.58517456054688,2563150901.0,6.999999999999999
2.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5189.14013671875,1297.2850341796875,816.6778564453124,204.1694641113281,2563151203.0,4.0
2.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,15809.770751953125,2634.9617919921875,1191.0035247802734,198.5005874633789,2253110409.0,6.0
2.0,0.0,8.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,6282.4564208984375,897.4937744140625,1551.7855834960938,221.68365478515625,2243120810.0,7.0
2.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,6210.08056640625,776.2600708007812,1518.9715576171875,189.87144470214844,243351305.0,8.0
2.0,0.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,7918.592773437501,989.8240966796876,1808.21337890625,226.02667236328125,2243121107.0,8.0
2.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10020.78662109375,2505.196655273437,831.6861572265625,207.92153930664062,128361709.0,4.0
2.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,12807.262939453125,2134.5438232421875,1122.5466613769534,187.0911102294922,133392108.0,6.0
2.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4239.479370117188,847.8958740234375,1084.976577758789,216.9953155517578,1263112307.0,5.0
2.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,13662.61572265625,1951.80224609375,1365.9265899658205,195.1323699951172,1523141104.0,7.0
2.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,10292.7451171875,1286.5931396484375,1566.9803466796873,195.8725433349609,163382203.0,8.0
2.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4307.468872070313,861.4937744140625,1014.8793029785156,202.97586059570312,129362404.0,5.0
2.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,7547.939697265625,1078.277099609375,1447.4215393066406,206.7745056152344,120373502.0,7.0
2.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10088.776611328123,2522.194152832031,828.5920206705728,207.1480051676432,1243121801.0,4.0
2.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,10359.638305664062,1726.6063842773438,1310.672836303711,218.44547271728518,118374112.0,6.0
2.0,0.0,8.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3970.8108520507812,794.1621704101562,1089.5571899414062,217.91143798828125,121373102.0,5.0
2.0,0.0,8.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,6791.28173828125,970.18310546875,1541.191909790039,220.17027282714844,136390310.0,7.0
2.0,0.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,9356.243774414059,1039.5826416015623,1787.423812866211,198.60264587402344,142351706.0,9.0
2.0,0.0,8.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,10666.688232421877,1066.6688232421877,2025.5082702636719,202.5508270263672,1393101804.0,10.0
2.0,0.0,8.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,8883.605895996094,987.0673217773438,1653.396240234375,183.710693359375,2243121112.0,9.0
2.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,9312.378662109377,1034.708740234375,2047.7951202392576,227.5327911376953,1263112501.0,9.0
2.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,65557.30685424805,16389.326713562008,1142.51273727417,285.62818431854254,101310208.0,4.0
2.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,23109.87670898437,3851.646118164063,1555.4790115356445,259.2465019226074,122373803.0,6.0
2.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,27218.86074066162,5443.772148132324,1399.4120788574219,279.88241577148443,101310410.0,5.0
2.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4590.39306640625,573.7991333007812,2265.288818359375,283.1611022949219,1243121305.0,8.0
2.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5366.790710449219,766.6843872070312,1649.8059844970705,235.6865692138672,1243121803.0,7.0
2.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,11287.366943359375,1128.7366943359375,2577.5653076171875,257.75653076171875,142351906.0,10.0
2.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5098.1220703125,1274.530517578125,1001.9521484375,250.488037109375,1543141609.0,4.0
2.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,13347.890625,2224.6484375,1814.75390625,302.458984375,133392405.0,6.0
2.0,0.0,9.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,4825.066772460938,804.1777954101562,1462.7264099121094,243.7877349853516,1443131911.0,6.0
2.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,13591.336669921875,2718.267333984375,1214.2038472493487,242.84076944986975,106330710.0,5.0
2.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,10737.967163085938,1789.6611938476562,1479.4195861816406,246.56993103027344,2563150712.0,6.0
2.0,0.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,8498.697265625,1062.337158203125,1985.9129638671875,248.23912048339844,158381604.0,8.0
2.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4368.878784179688,873.7757568359375,1550.7717895507812,310.15435791015625,1393101609.0,5.0
2.0,0.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,11924.4951171875,1490.5618896484375,2094.9448242187495,261.8681030273437,121372908.0,8.0
2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13312.798095703125,4437.599365234375,860.5356674194336,286.8452224731445,107330405.0,3.0
2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5681.51611328125,1136.30322265625,1381.1775207519531,276.23550415039057,130395110.0,5.0
2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6526.999755859375,1631.7499389648438,1016.4759216308594,254.11898040771484,131391507.0,4.0
2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16502.82568359375,2750.470947265625,1716.1453857421875,286.02423095703125,121373002.0,6.0
2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7020.47265625,1755.1181640625,1099.4892578125,274.872314453125,133392306.0,4.0
2.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,14457.65493774414,3614.413734436035,1027.5201416015623,256.88003540039057,101310106.0,4.0
2.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,17397.656982421875,2899.6094970703125,1630.375244140625,271.7292073567708,127361404.0,6.0
2.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,10728.097534179688,2145.619506835937,1376.6299438476562,275.32598876953125,109342709.0,5.0
2.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,6891.072807312012,984.4389724731444,1809.5131912231445,258.50188446044916,101310201.0,7.0
2.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3152.74267578125,788.1856689453125,1143.8203125,285.955078125,1663161602.0,4.0
2.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,7790.290283203125,1298.3817138671875,1856.0240478515625,309.33734130859375,163382210.0,6.0
2.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,14131.962890625,2355.3271484375,1739.3164672851562,289.8860778808594,1473133101.0,6.0
2.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8270.603271484375,2067.6508178710933,1023.3359375,255.833984375,2573151711.0,4.0
2.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,5543.3441162109375,923.8906860351562,1482.8993225097656,247.1498870849609,261380910.0,6.0
2.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,8176.295166015625,1635.259033203125,1548.944091796875,309.788818359375,104330509.0,5.0
2.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,7922.979492187501,990.3724365234376,2067.3518066406245,258.41897583007807,142351711.0,8.0
2.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,16498.43896484375,4124.6097412109375,1079.5810546875,269.895263671875,112344103.0,4.0
2.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,13573.7900390625,2262.29833984375,1674.845443725586,279.1409072875977,1573152409.0,6.0
2.0,0.0,9.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,8594.102172851562,1227.7288818359375,1702.4181365966795,243.2025909423828,218371305.0,7.0
2.0,0.0,9.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,16945.855407714844,2420.8364868164067,1670.705795288086,238.67225646972656,2243121201.0,7.0
2.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,31652.43920898437,7913.109802246094,1214.364292689732,303.591073172433,114343903.0,4.0
2.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,6283.5528564453125,1256.7105712890625,1430.023193359375,286.004638671875,159381803.0,5.0
2.0,0.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,6661.88232421875,1332.37646484375,1558.9862060546875,311.7972412109375,130395208.0,5.0
2.0,0.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3350.1318359375,670.0263671875,1268.0265045166016,253.6053009033203,262380505.0,5.0
2.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,7941.6217041015625,1588.3243408203125,1444.1835021972656,288.8367004394531,1243121610.0,5.0
2.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,7408.670654296875,1234.7784423828125,1868.0707397460935,311.3451232910156,1573152210.0,6.0
2.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3706.5286254882812,741.3057250976562,1439.7349548339844,287.9469909667969,1663162408.0,5.0
2.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3281.04541015625,820.2613525390625,930.7537841796876,232.68844604492188,134393511.0,4.0
2.0,0.0,9.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,12536.400878906248,2089.4001464843745,1578.520202636719,263.0867004394532,131391104.0,6.0
2.0,0.0,9.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2235.97998046875,372.663330078125,1508.4223937988281,251.4037322998047,103320210.0,6.0
2.0,0.0,9.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,9827.783569335941,1091.9759521484377,2548.693817138672,283.1882019042969,214341405.0,9.0
2.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,11924.4951171875,1490.5618896484375,3942.0498046875,492.7562255859375,121372912.0,8.0
2.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11804.964599609375,2360.992919921875,2896.042022705078,579.2084045410156,128361710.0,5.0
2.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,37927.21923828125,9481.804809570312,1566.4936157226562,391.623403930664,105330307.0,4.0
2.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,12220.578369140625,2036.7630615234373,2298.619079589844,383.1031799316406,131391602.0,6.0
2.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5105.79833984375,1021.15966796875,1811.8911743164065,362.37823486328125,1513140910.0,5.0
2.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,11558.227905273438,1651.1754150390625,4829.287353515625,689.898193359375,1243121608.0,7.0
2.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,5138.6962890625,1027.7392578125,2486.3706970214844,497.2741394042969,1663161803.0,5.0
2.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,10475.877685546877,1496.553955078125,2467.03515625,352.43359375,121372909.0,7.0
2.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4430.288574218751,1107.5721435546877,1800.043212890625,450.01080322265625,1403102803.0,4.0
2.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,4584.910034179688,764.1516723632812,3429.082763671875,571.5137939453125,1393101008.0,6.0
2.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,11902.562622070312,1322.5069580078125,3564.123046875,396.013671875,1493131507.0,9.0
2.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,12087.889404296875,2417.577880859375,2272.650756835937,454.5301513671875,119372709.0,5.0
2.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,17155.306549072266,4288.8266372680655,2022.8875732421875,505.7218933105469,101310104.0,4.0
2.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,5292.22119140625,882.036865234375,2093.2487182617188,348.8747863769531,105330301.0,6.0
2.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,12033.058776855469,2406.6117553710933,3291.7510986328125,658.3502197265625,121372905.0,5.0
2.0,0.0,10.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,4559.688354492188,759.9480590820312,2493.065734863281,415.5109558105469,1653163207.0,6.0
