children,old,decile,cat1workers,cat2workers,cat3workers,cat4workers,cat5workers,cat6workers,cat7workers,totweight,weight,totY,Y,idh,nbpeople
2.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,49651.41017913818,12412.852544784546,954.0313994716589,240.29615891147668,1.0,4.0
2.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,18985.479183197018,3797.0958366394043,1178.7603564055069,239.22283802861756,1581.0,5.0
2.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,6786.831745147705,1131.1386241912842,1405.5015014648438,234.25025024414063,6835.0,6.0
2.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1258.0368041992188,179.71954345703125,1489.1869812011719,212.74099731445312,33743.0,7.0
2.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,210.35690689086914,23.372989654541016,1943.982421875,215.998046875,2213.0,9.0
2.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2655.6275634765625,331.9534454345703,1950.7614135742188,243.84517669677732,3959.0,8.0
2.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3699.2030334472656,739.8406066894531,1242.0781326293945,248.4156265258789,12032.0,5.0
2.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,3306.194664001465,551.0324440002441,1376.6533813476562,229.44223022460938,1733.0,6.0
2.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,2264.6715545654292,251.6301727294922,2292.6802368164067,254.74224853515625,2590.0,9.0
2.0,0.0,8.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2411.4082946777344,401.90138244628906,1384.4943542480469,230.74905904134118,7270.0,6.0
2.0,0.0,8.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,933.7793426513672,133.39704895019528,1506.8531799316406,215.2647399902344,14209.0,7.000000000000001
2.0,0.0,8.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,176.49456787109375,22.06182098388672,1694.2406005859375,211.7800750732422,1961.0,8.0
2.0,0.0,8.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,1660.2802734375,207.5350341796875,1980.059814453125,247.50747680664062,2545.0,8.0
2.0,0.0,8.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1108.2217864990234,158.31739807128906,1566.3938751220705,223.7705535888672,9491.0,7.0
2.0,0.0,8.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,492.54296875,61.56787109375,1996.314697265625,249.53933715820312,12123.0,8.0
2.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10296.200231552124,3432.066743850708,689.0924168636923,236.68291031686886,380.0,3.0
2.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,37498.93794250488,9374.73448562622,905.7292978691333,238.76468126701587,581.0,4.0
2.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,21834.01944160461,4366.803888320923,1151.9920704181375,235.6318852351262,71.0,5.0
2.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1992.746841430664,332.1244735717773,1210.459378560384,224.20631917317712,8088.0,6.0
2.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1686.959665298462,240.9942378997803,1415.3633270263672,229.7391586303711,2411.0,7.0
2.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,17354.957038879398,4338.7392597198495,933.0491024364123,238.2742829756303,394.0,4.0
2.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,9827.258491516111,1965.4516983032227,1121.124308013916,230.1087738037109,982.0,5.0
2.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,4502.6636810302725,750.4439468383789,1425.6327209472656,237.6054534912109,7232.0,6.0
2.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2028.6612701416016,405.7322540283203,1256.0279846191404,251.2055969238281,3019.0,5.0
2.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7000.267066955566,1750.0667667388916,946.2517639160156,236.5629409790039,4139.0,4.0
2.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,5008.5464572906485,1001.70929145813,1139.126205444336,227.8252410888672,29.0,5.0
2.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1198.521240234375,199.7535400390625,1321.4032287597654,220.2338714599609,10033.0,6.0
2.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1251.8800811767578,178.8400115966797,1638.3321838378906,234.0474548339844,26642.0,7.0
2.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,910.178352355957,101.13092803955078,1891.597412109375,210.177490234375,9115.0,9.0
