countrycode,wbreg,shareemp,shareag,sharemanu,poorag,poorindus,poorserv,pooremp,poorold,poorunemp,poorchildren,below125,pooradult,skillpag,skillpserv,skillpmanu,gdp,quintile2,quintilepc2,below4,below6,below8,below10,gini,tot_pop,gap,incbott20,inc2040,incbott40,avincome
AFG,SAS,0.597557539497036,0.5876057731004932,0.12674165787107736,293338.0621118152,32322.91444343458,62153.76037658709,387814.7369318369,32184.46653904924,201971.71560356466,750847.2326383587,1372818.1517128102,589786.4525354016,1.69077630377483,1.4496437568359613,1.6470573515177047,2445890475.498676,564661527.6754068,0.23086132978226792,21031769.24967856,24561081.879838526,25857637.207918987,26050591.81571535,0.2767202136226229,26306831.02001571,0.005595073951932281,43.824315250121366,63.49089614851497,53.657278783570845,92.97548890011517
AGO,SSA,0.7588660588381688,0.5387152072891722,0.04876024470057329,2655714.3039331436,127324.26408815384,1068459.091206789,3851497.6592280865,275121.49788570404,1143222.3883497715,5758359.86029315,11028201.405756712,4994720.047577858,3.28521462149355,1.7312981023065033,1.6864645836371057,691444687.6070936,105335707.44772871,0.1523414805778137,17251219.707370996,17532168.34102273,17621996.8575747,17676502.519170523,0.4177017519541142,17712824.000756502,0.2890275631860466,10.640197052048206,19.056782202966385,14.846805564357837,39.036388978830395
ALB,ECA,0.5218609801954868,0.46434802380427564,0.18308162832759176,3049.502410888672,1020.6061706542969,379.0915832519531,4449.200164794922,1273.890968322754,5004.738555908203,5604.253028869629,16332.082717895508,9453.938720703125,1.4670813015729829,1.1428400451607064,1.1940603709768722,1538332436.8031583,255377239.09629694,0.16600913624821015,234998.6829032898,437971.0432243347,793180.1267108917,1257487.3684253693,0.4011465953361686,3166222.00595665,0.0013539938688099196,142.0686241071515,261.07990048784353,201.51983341085113,485.85741426503756
ARG,LAC,0.6157574385796994,0.008157905139214388,0.24303163736023028,521.7220764160156,22199.112327575684,10834.644416809082,33555.47882080078,813.3679809570311,55650.89514160156,62559.66185760498,152579.40380096436,89206.37396240234,1.5450388390499543,1.4004094118009125,1.6043437065561754,23145029579.662525,2902753645.522798,0.12541585378112655,3881772.6634635925,7760181.676422119,11841587.564170837,15036610.330013275,0.46736623489501505,39331357.14832306,0.0014239576264944336,117.02365276510635,251.94964791780046,184.49012415771384,588.4625209442929
AZE,ECA,0.38443707784239944,0.24436230276076867,0.14737956431811786,9281.344909667969,9849.637268066406,27513.029907226562,46644.01208496094,17381.18426513672,130962.31811523438,86828.05865478516,281815.5731201172,177606.3302001953,1.0,1.0,1.0,1427358715.7549913,272234550.0468775,0.19072609221633627,3745581.1795043945,6117046.628540039,7232985.883361816,7924146.764953613,0.34708191371402286,8766042.804626465,0.007678022403461261,57.26396617660455,97.79885036546496,77.5199217915575,162.82817088249587
BDI,SSA,0.838847615622166,0.9437438452355573,0.006284777844532025,2587008.777059555,13037.53814983368,53379.05010509491,2653425.3653144836,169686.18629264832,429938.2221097946,3418485.9208106995,6671535.694527626,3083363.5874242783,6.187567486323318,3.2022350907752224,2.831220530072899,233861757.7639259,36164774.41086438,0.15464167701745954,8196694.129753113,8251201.385564804,8300765.733775139,8315253.114022255,0.4223329738342173,8328312.024504662,0.410854857792728,7.184328986957315,14.511720238577649,10.849810926910601,28.080330933306403
BFA,SSA,0.8368712509887087,0.8138305116054017,0.04500232958996197,2278552.661839485,43150.47594833374,86877.4755191803,2408580.613306999,214767.219956398,238921.3382024765,3373770.470140457,6236039.641606331,2647501.9515094757,2.359270162748721,1.9473053634439834,0.8725232729471301,828426994.9898925,128731989.72705448,0.1553932820943684,12837532.486326218,13667362.493876457,14040416.748247147,14110245.7872715,0.4200916152180002,14231832.33835888,0.15978421782220267,16.498976292915884,28.71283953610135,22.605417638313,58.20944030917534
BGD,SAS,0.43466449757844905,0.42202280625662564,0.24186839078537717,9410207.50402832,4029617.3635253906,4676222.694824219,18116047.56237793,2782262.744873047,21203414.515625,30878275.39807129,72980000.22094727,39319462.07800293,3.420173641455414,2.3118124541341136,2.485192930892064,7115112094.089039,1493589289.1489348,0.20991788595850114,139932547.58483887,144627988.72668457,145386465.1465454,145910969.5586548,0.32998791001429106,146457066.6651001,0.13346518163864177,21.3578205603177,29.62576569021851,25.491972512502226,48.581555373896684
BIH,ECA,0.3453807498745126,0.10315642761768294,0.3673694315534811,0.0,93.76328332736315,187.5265666547263,281.28984998208944,93.76328332736315,93.76328332736315,0.0,468.8164166368158,375.0531333094526,1.0,1.0,1.0,1797039801.8964643,217985890.932132,0.12130276174299844,649108.8763875812,1088822.2789477012,1514112.6819781892,1732722.3307631805,0.4563246373174451,3833251.552349103,1.9261114184314748e-05,91.7911022034475,193.0076637244733,142.51095097400218,468.80299332173956
BLZ,LAC,0.5938107911906065,0.348400193562971,0.1647037540346106,5108.519023894638,906.8596959643462,2876.6778912438217,8892.056611102806,1237.6404846000698,7316.202086122417,18174.360193030643,35620.25937485592,16208.258697225223,1.4284004998743183,1.7390763519460266,1.159004602698768,56241353.13807172,6024643.423228739,0.10712123885850187,143514.26283854875,194118.14847914298,225393.65792904235,241300.86892271828,0.5293745354809203,286195.99864578305,0.06404755892295737,28.72669118778897,76.29210558488987,52.54452225112193,196.51341529648744
