dtype,indata,industrycode
int,11,serv
int,1,ag
int,3,manu
int,10,serv
int,9,serv
int,6,serv
int,7,serv
int,5,manu
int,4,serv
int,8,serv
int,2,manu
float,11,serv
float,1,ag
float,3,manu
float,10,serv
float,9,serv
float,6,serv
float,7,serv
float,5,manu
float,4,serv
float,8,serv
float,2,manu
str,Commerce,serv
str,Transports and comnunications,serv
str,Others,serv
str,Community and family oriented services,serv
str,Agriculture,ag
str,Construction,manu
str,Manufacturing,manu
str,Mining,manu
str,Financial and business-oriented services,serv
str,Public utilities,serv
str,Transport and telecomnunications,serv
str,Others not well specified,serv
str,Communal serv.,serv
str,"Agriculture, Hunting, etc.",ag
str,Public services,serv
str,"Retail, Hotels",serv
str,Finance and business serv.,serv
str,Financial and business-serv,serv
str,Public administration,serv
str,Other services,serv
str,Unspecified,serv
str,Communal services,serv
str,Agriculture and fishing,ag
str,"Transportation, storage and communication",serv
str,Manufacture,manu
str,Financial insurance and real estate,serv
str,Electricity and utilities,serv
str,Communal Services,serv
str,servicios comunales,serv
str,Finance and insurance serv.,serv
str,"Reatil, Hotels",serv
str,Transports and communications,serv
str,Service,serv
