country,year,scenar,ssp,ccint,GDP,avincome,incbott10,incbott20,inc2040,incbott40,quintilecum1,quintilecum2,quintilepc1,quintilepc2,below125,below2,below4,below6,below8,below10,gini,tot_pop,gap125,gap2,gap4,gap6,gap8,gap10,childrenag,childrenonag,peopleag,peoplenonag,incsharebott20ag,incsharebott20nonag,poorag,poornonag,incbott20ag,incbott20nonag,avincomeag,avincomenonag,shareag,sharemanu,shareemp,grserv,grag,grmanu,skillpserv,skillpag,skillpmanu,p,b,fprice_increase,farmer_rev_change,transmission,food_cursor,temp_impact,paramshstunt,malaria_cursor,diarrhea_cursor,disasters_cursor,malaria_share,diarrhea_share,prod_gr_ag,prod_gr_serv,prod_gr_manu
ARG,2030,0,ssp4,1,105670475784.80876,2347.303295766446,285.933876740686,391.51948487366417,851.0638204049126,621.2916526392885,615.2683259560174,1125.5166414845085,0.011128118582575772,0.020356781138766725,7856.4716669189675,44829.12482604845,189198.63237875514,463927.9565314993,917386.8176244055,1701173.4695854958,0.49710208894762453,45017819.37399948,6.967859347955941e-05,0.00022280203034294427,0.0016209337587681106,0.0034009317726997903,0.006302256957600452,0.01072311964968339,1871810.6013062743,6722944.435693727,8570887.315854581,36446932.05814515,0.025947854981100624,0.03758188982585458,1205.9375148308754,6650.534152088093,380.30233175513337,415.4279493031319,2869.019707379001,2224.616081171004,0.11371819027988114,0.2508916791152709,0.7608099370953155,0.04245576097146875,0.03519654361146874,-0.003543506328531258,2.6861511680000003,3.94546334,2.590009592,0.122814846891,0.13611725283,0.026098366644653703,0.033225948836151716,0.5,1.0,0.03,1.0,1.0,1.0,1.0,0.019080999999999973,0.01080508475,0.060219927350603886,0.0616607790644903,0.016888587433059765
ARG,2030,0,ssp5,1,134043465732.88147,3029.062434457884,373.7628099061533,534.8175407406854,1261.006796076927,897.9121684088062,878.9340574260287,1689.8590591598158,0.015613034659734095,0.0300179835310891,4925.986339011421,20892.296202467434,114133.20289764847,235228.94299047365,497849.322383683,781270.7013870393,0.453850586161766,44252460.49999973,5.121611447280204e-05,0.00012860406270034797,0.0009611199173130075,0.001889679855854204,0.003450137086237986,0.00550214307162379,1682042.1790691526,6094146.693930901,8333263.266368833,35919197.2336308,0.02910763636787168,0.039571677326670336,653.088120090901,4272.89821892052,533.6840269886358,567.3829049034296,3145.3327760313655,3002.087684434928,0.11371819027988114,0.2508916791152709,0.7608099370953155,0.04245576097146875,0.03519654361146874,-0.003543506328531258,2.6861511680000003,3.94546334,2.590009592,0.122814846891,0.13611725283,0.033184532650126775,0.07342501520411271,1.0,1.0,0.03,1.0,1.0,1.0,1.0,0.019080999999999973,0.005402542375000001,0.06556287884669043,0.0653560728406295,0.02150914734979703
ARG,2030,1,ssp4,1,38806796480.11437,862.0319024720957,134.52196008182608,193.4737454486091,386.8175474907781,290.1456464696936,303.2232641031436,494.96738142277314,0.016945014029303776,0.027660243177791484,11603.640190693752,83240.5338921023,1007394.8495590386,3433197.761531989,5838836.388438889,8755136.244766373,0.44100196071588593,45017819.37400035,6.610000714481021e-05,0.0003381100057204074,0.005248817914013613,0.019404376766936217,0.04054920863446077,0.06494907200379046,710928.684666957,7883826.352333033,3221573.7809923254,41796245.59300811,0.026509129497847665,0.049440050206738806,396.46981126534376,11207.170379428408,176.2320266010017,204.51501009885402,1273.517045959066,830.3154233788817,0.04084201312098402,0.26301493096533873,0.7890563137731434,-0.013077484788531258,0.025885251071468746,0.030368110691468747,1.3558370320000002,2.15663988,2.1944255679999998,0.086076660493,0.08929182130600001,0.026098366644653703,0.033225948836151716,0.5,1.0,0.03,1.0,1.0,1.0,1.0,0.019080999999999973,0.01080508475,-0.01310717758617952,0.03077828068622801,0.03308697558538398
ARG,2030,1,ssp5,1,45750255260.73367,1033.8465871458977,170.22096266870932,249.62367171248053,506.89234261660323,378.2580071645419,399.16673700704956,671.5146814713479,0.021921153417016406,0.03687776307386141,4137.170174528071,34246.00223317101,524012.1873532047,1946443.061987413,3615507.1542656296,5412799.940816912,0.41058948296542497,44252460.49999972,4.205532166571539e-05,0.0001637748923850526,0.0024873679136136213,0.009806355571589362,0.023093360942823382,0.038707717282374605,641782.0028188666,7134406.870181215,3142713.653918441,41109746.84608123,0.02791269440752487,0.05317676988754412,231.92762337372,3905.2425511543497,238.70951003576465,263.8585055707738,1385.034110030723,1006.9993816063397,0.04084201312098402,0.26301493096533873,0.7890563137731434,-0.013077484788531258,0.025885251071468746,0.030368110691468747,1.3558370320000002,2.15663988,2.1944255679999998,0.086076660493,0.08929182130600001,0.033184532650126775,0.07342501520411271,1.0,1.0,0.03,1.0,1.0,1.0,1.0,0.019080999999999973,0.005402542375000001,-0.012541709807823431,0.03361383025144904,0.03551938481449124
ARG,2030,2,ssp4,1,95294154207.98576,2116.8096441166776,223.53300583797346,313.42438053143184,684.0302649156231,498.7273227235275,490.2020206223816,952.2893694201467,0.007999822645731803,0.015540829581046245,14584.669716260942,64617.319279509495,265782.96971937246,798231.5929944623,1819534.9914225282,3470268.213715476,0.512582108920288,45017819.37400001,9.424024842829242e-05,0.00033100273249548067,0.0020464493086946875,0.005055342948033331,0.010843006724974017,0.020452837052437896,190601.07723412698,8404153.959765924,802648.4304018605,44215170.943598084,0.028865747859249596,0.030937324027331247,240.86969982596315,14343.800016434978,315.6534536112778,326.9002287274227,1908.2223296299064,2120.596178851284,0.011978668075675672,0.14573575850855386,0.6207825148468139,0.03796883581146874,0.01670919187146875,-0.012468835728531257,3.4020502919999998,4.006920043999999,2.233345608,0.169271758673,0.10948419131000002,0.026098366644653703,0.033225948836151716,0.5,1.0,0.03,1.0,1.0,1.0,1.0,0.019080999999999973,0.01080508475,0.06112990561549658,0.04161307849859752,0.0023657289915337554
ARG,2030,2,ssp5,1,122784272305.23701,2774.6315327536877,289.3201819223991,422.1767753091752,1047.7170286655019,734.9469019873387,708.7552333354462,1517.3475322972915,0.011365260521117432,0.024331460558643197,11067.100650480905,35180.66683570445,127326.74240168389,362880.8366596379,919965.3274086638,1706256.7579487688,0.4718224973358698,44252460.500000484,6.748910432126627e-05,0.00023036695360528937,0.0011009976905402095,0.002479546440011598,0.005483346432701797,0.01036802421894418,172029.07021052248,7604159.802789515,783011.5379729499,43469448.962027565,0.03130356466367939,0.031969435470711384,148.91535535200651,10918.185295128898,417.2480998303318,440.4698548420212,2163.6558239767287,2785.6369869477694,0.011978668075675672,0.14573575850855386,0.6207825148468139,0.03796883581146874,0.01670919187146875,-0.012468835728531257,3.4020502919999998,4.006920043999999,2.233345608,0.169271758673,0.10948419131000002,0.033184532650126775,0.07342501520411271,1.0,1.0,0.03,1.0,1.0,1.0,1.0,0.019080999999999973,0.005402542375000001,0.06702708652844303,0.04609733680465178,0.006681517546493376
ARG,2030,3,ssp4,1,114574895277.64847,2545.1009593730146,148.5315195733603,221.3668011261346,633.3698585162515,427.36832982119313,388.64813129504404,981.8947490316464,0.00573954196870483,0.014500587207608927,26715.812052278758,93826.92575537869,914440.209850968,2497647.341101869,5134835.246502265,6793184.252285451,0.5500967958327811,45017819.37399905,0.0001448028817718859,0.00048579920259987056,0.0055712697991711895,0.015757069297877263,0.03286114986121776,0.052527039846755594,1717743.0551570202,6877011.981842967,7860016.739001923,37157802.63499729,0.01816430480706738,0.01829330081207527,1032.8549596269622,25682.957092651803,222.07125762728901,234.40879188790817,2353.153485804897,2585.70374662808,0.10358002619728508,0.2409284458652281,0.7656205843555346,0.038511693371468744,0.03428109703146875,-0.013040731548531258,3.51101664,3.05565972,3.382835472,0.199497196053,0.016807325006,0.026098366644653703,0.033225948836151716,0.5,1.0,0.03,1.0,1.0,1.0,1.0,0.019080999999999973,0.01080508475,0.06156405770105233,0.04775891361470053,0.0006451757765015831
ARG,2030,3,ssp5,1,149726023439.29,3383.4508126229516,186.78759157302392,308.710044473757,1072.5052248680445,690.6076346709008,619.1093164658864,1690.7165438538182,0.008992181916514033,0.024556617591186134,13742.131446240817,47763.00316530864,600065.8810386282,1459001.2929946186,2573369.913318343,4307769.995452797,0.49279289142017935,44252460.49999959,8.344855709227729e-05,0.0003081899447033908,0.0032874252777979145,0.009432393663420432,0.01879869083700489,0.03176061506428722,1544083.725552376,6232105.147447666,7643649.309391058,36608811.1906086,0.01900985125042584,0.020340405864466927,600.056311742969,13142.07513449785,309.52197401568765,325.8061352728032,2534.418622866235,3560.7224611639313,0.10358002619728508,0.2409284458652281,0.7656205843555346,0.038511693371468744,0.03428109703146875,-0.013040731548531258,3.51101664,3.05565972,3.382835472,0.199497196053,0.016807325006,0.033184532650126775,0.07342501520411271,1.0,1.0,0.03,1.0,1.0,1.0,1.0,0.019080999999999973,0.005402542375000001,0.06790909258144051,0.05056485934144961,0.0064559492495390725
ARG,2030,4,ssp4,1,75680383478.62546,1681.1205991539998,253.0323642254622,344.77236139748413,675.9000246003545,510.3361929989193,520.4655640612659,873.2917655324736,0.008869865872012729,0.014882792181221852,8934.30584627231,45208.81444538112,207388.1548539532,519847.83999099623,1192948.249634059,2373829.5326874214,0.477349702795439,45017819.37399925,7.655653091085215e-05,0.00023106423905829997,0.001611830784089261,0.003639069177209968,0.007398802066036169,0.01379697999042102,869351.003112137,7725404.033887831,3949249.1260142927,41068570.24798504,0.0447232464096932,0.043053759531751855,548.4422775360074,8385.863568736302,330.7998202892902,363.64619992239506,1279.914833142142,1719.7014776994843,0.06027137912759791,0.3272636760625201,0.6532416223926891,0.02630890609146875,0.004772481731468745,0.021849425651468746,4.055502843999999,1.488118336,2.169268712,0.086841642363,0.16086546475600003,0.026098366644653703,0.033225948836151716,0.5,1.0,0.03,1.0,1.0,1.0,1.0,0.019080999999999973,0.01080508475,0.058863228479382856,0.00892024947329162,0.029747458243970737
ARG,2030,4,ssp5,1,101307323309.94357,2289.303739617904,334.63147293711916,474.8660435856238,1009.7784549912573,742.3222492884404,750.5137930662206,1338.744692934958,0.012561832975749093,0.022407432595093715,8112.532287735858,28028.397349734372,112729.86592606071,261135.43326116988,605309.1684301822,1057320.0865437514,0.4505707404805397,44252460.499999374,6.50044278351089e-05,0.00018421053963197002,0.000986730883785876,0.001988467403484164,0.003869404229647338,0.006721221136663127,780868.7357105303,6995320.137289438,3836932.9544444433,40415527.54555506,0.05077583270458433,0.04383820515616608,323.4348344784018,7789.097453257457,473.9717724993653,500.27258190128885,1432.360804266654,2370.6594162206984,0.06027137912759791,0.3272636760625201,0.6532416223926891,0.02630890609146875,0.004772481731468745,0.021849425651468746,4.055502843999999,1.488118336,2.169268712,0.086841642363,0.16086546475600003,0.033184532650126775,0.07342501520411271,1.0,1.0,0.03,1.0,1.0,1.0,1.0,0.019080999999999973,0.005402542375000001,0.06652896531338448,0.014925044384299646,0.03347202190466403
